lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
11.1856,10.454999999999998,23.5808,30.3726,60.25,57.0,106.25,123.0,1.0,1.25,2.75,3.5,1.75,5.75,8.5,8.5,0.5403,0.7103250000000001,1.325425,1.59545,34.7575,86.72749999999999,140.75946050000002,155.80710375,0.0,0.9125000000000002,1.765,2.4625,0.0,2.0,7.0,10.75,0.0,0.0,0.0,0.0,0.0,-2.25,-2.25,-2.0,0.0,-0.04,0.235,0.4099999999999999,0.0,-6.45,-5.7803325,-5.458887500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
11.1856,10.454999999999998,23.5808,30.3726,60.25,57.0,106.25,123.0,1.0,1.25,2.75,3.5,1.75,5.75,8.5,8.5,0.5403,0.7103250000000001,1.325425,1.59545,34.7575,86.72749999999999,140.75946050000002,155.80710375,0.0,0.9125000000000002,1.765,2.4625,0.0,2.0,7.0,10.75,0.0,0.0,0.0,0.0,0.0,-2.25,-2.25,-2.0,0.0,-0.04,0.235,0.4099999999999999,0.0,-6.45,-5.7803325,-5.458887500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
11.1856,10.454999999999998,23.5808,30.37260000000001,60.25,57.0,106.25,123.0,1.0,1.25,2.75,3.5,1.75,5.75,8.5,8.5,0.5403,0.7103250000000001,1.325425,1.59545,34.7575,86.72749999999999,140.75946050000002,155.80710374999998,0.0,0.9125000000000002,1.765,2.4625,0.0,2.0,7.0,10.75,0.0,0.0,0.0,0.0,0.0,-2.25,-2.25,-2.0,0.0,-0.04,0.235,0.4099999999999999,0.0,-6.45,-5.7803325,-5.458887500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
11.1856,10.454999999999998,23.5808,30.37260000000001,60.25,57.0,106.25,123.0,1.0,1.25,2.75,3.5,1.75,5.75,8.5,8.5,0.5403,0.7103250000000001,1.325425,1.59545,34.7575,86.72749999999999,140.75946050000002,155.80710374999998,0.0,0.9125000000000002,1.765,2.4625,0.0,2.0,7.0,10.75,0.0,0.0,0.0,0.0,0.0,-2.25,-2.25,-2.0,0.0,-0.04,0.235,0.4099999999999999,0.0,-6.45,-5.7803325,-5.458887500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
11.1856,10.454999999999998,23.5808,30.37260000000001,60.25,57.0,106.25,123.0,1.0,1.25,2.75,3.5,1.75,5.75,8.5,8.5,0.5403,0.7103250000000001,1.325425,1.59545,34.7575,86.72749999999999,140.75946050000002,155.80710374999998,0.0,0.9125000000000002,1.765,2.4625,0.0,2.0,7.0,10.75,0.0,0.0,0.0,0.0,0.0,-2.25,-2.25,-2.0,0.0,-0.04,0.235,0.4099999999999999,0.0,-6.45,-5.7803325,-5.458887500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
11.1856,10.454999999999998,23.5808,30.37260000000001,60.25,57.0,106.25,123.0,1.0,1.25,2.75,3.5,1.75,5.75,8.5,8.5,0.5403,0.7103250000000001,1.325425,1.59545,34.7575,86.72749999999999,140.75946050000002,155.80710374999998,0.0,0.9125000000000002,1.765,2.4625,0.0,2.0,7.0,10.75,0.0,0.0,0.0,0.0,0.0,-2.25,-2.25,-2.0,0.0,-0.04,0.235,0.4099999999999999,0.0,-6.45,-5.7803325,-5.458887500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
11.1856,10.454999999999998,23.5808,30.37260000000001,60.25,57.0,106.25,123.0,1.0,1.25,2.75,3.5,1.75,5.75,8.5,8.5,0.5403,0.7103250000000001,1.325425,1.59545,34.7575,86.72749999999999,140.75946050000002,155.80710374999998,0.0,0.9125000000000002,1.765,2.4625,0.0,2.0,7.0,10.75,0.0,0.0,0.0,0.0,0.0,-2.25,-2.25,-2.0,0.0,-0.04,0.235,0.4099999999999999,0.0,-6.45,-5.7803325,-5.458887500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
11.1856,10.454999999999998,23.5808,30.37260000000001,60.25,57.0,106.25,123.0,1.0,1.25,2.75,3.5,1.75,5.75,8.5,8.5,0.5403,0.7103250000000001,1.325425,1.59545,34.7575,86.72749999999999,140.75946050000002,155.80710374999998,0.0,0.9125000000000002,1.765,2.4625,0.0,2.0,7.0,10.75,0.0,0.0,0.0,0.0,0.0,-2.25,-2.25,-2.0,0.0,-0.04,0.235,0.4099999999999999,0.0,-6.45,-5.7803325,-5.458887500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
11.1856,10.454999999999998,23.5808,30.37260000000001,60.25,57.0,106.25,123.0,1.0,1.25,2.75,3.5,1.75,5.75,8.5,8.5,0.5403,0.7103250000000001,1.325425,1.59545,34.7575,86.72749999999999,140.75946050000002,155.80710374999998,0.0,0.9125000000000002,1.765,2.4625,0.0,2.0,7.0,10.75,0.0,0.0,0.0,0.0,0.0,-2.25,-2.25,-2.0,0.0,-0.04,0.235,0.4099999999999999,0.0,-6.45,-5.7803325,-5.458887500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
11.1856,10.454999999999998,23.5808,30.37260000000001,60.25,57.0,106.25,123.0,1.0,1.25,2.75,3.5,1.75,5.75,8.5,8.5,0.5403,0.7103250000000001,1.325425,1.59545,34.7575,86.72749999999999,140.75946050000002,155.80710374999998,0.0,0.9125000000000002,1.765,2.4625,0.0,2.0,7.0,10.75,0.0,0.0,0.0,0.0,0.0,-2.25,-2.25,-2.0,0.0,-0.04,0.235,0.4099999999999999,0.0,-6.45,-5.7803325,-5.458887500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
