f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
137.1449,266.2200000000001,415.1241999999999,478.3054,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.751400000000007,27.672799999999995,mof_primitive
137.1449,266.2200000000001,415.1241999999999,478.3054,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.751400000000007,27.672799999999995,mof_primitive
137.1449,266.2200000000001,415.1242,478.3054,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.751400000000004,27.672799999999995,mof_primitive
137.1449,266.2200000000001,415.1242,478.3054,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.751400000000004,27.672799999999995,mof_primitive
137.1449,266.22,415.1242,478.3054,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.7514,27.6728,mof_primitive
137.1449,266.22,415.1242,478.3054,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.7514,27.6728,mof_primitive
137.1449,266.22,415.1242,478.3054,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.7514,27.6728,mof_primitive
137.1449,266.22,415.1242,478.3054,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.7514,27.6728,mof_primitive
137.1449,266.22,415.1242,478.3054,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.7514,27.6728,mof_primitive
137.1449,266.22,415.1242,478.3054,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.7514,27.6728,mof_primitive
137.1449,266.22,415.1242,478.3054,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.7514,27.6728,mof_primitive
137.1449,266.22,415.1242,478.3054,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.7514,27.6728,mof_primitive
137.1449,266.22,415.1242,478.3054,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.7514,27.6728,mof_primitive
137.1449,266.22,415.1242,478.3054,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.7514,27.6728,mof_primitive
137.1449,266.22,415.1242,478.3054,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.7514,27.6728,mof_primitive
137.1449,266.22,415.1242,478.3054,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.7514,27.6728,mof_primitive
137.1449,266.22,415.1242,478.3054,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.7514,27.6728,mof_primitive
137.1449,266.22,415.1242,478.3054,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.7514,27.6728,mof_primitive
137.1449,266.2200000000001,415.1241999999999,478.30539999999996,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.751400000000007,27.672799999999995,mof_primitive
137.1449,266.2200000000001,415.1241999999999,478.30539999999996,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.751400000000007,27.672799999999995,mof_primitive
137.1449,266.2200000000001,415.12420000000003,478.30539999999996,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.751400000000004,27.672799999999995,mof_primitive
137.1449,266.2200000000001,415.12420000000003,478.30539999999996,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.15760000000001,26.751400000000004,27.672799999999995,mof_primitive
137.1449,266.22,415.12420000000003,478.30539999999996,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.157600000000006,26.7514,27.6728,mof_primitive
137.1449,266.22,415.12420000000003,478.30539999999996,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.157600000000006,26.7514,27.6728,mof_primitive
137.1449,266.22,415.12420000000003,478.30539999999996,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.157600000000006,26.7514,27.6728,mof_primitive
137.1449,266.22,415.12420000000003,478.30539999999996,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.157600000000006,26.7514,27.6728,mof_primitive
137.1449,266.22,415.12420000000003,478.30539999999996,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.157600000000006,26.7514,27.6728,mof_primitive
137.1449,266.22,415.12420000000003,478.30539999999996,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.157600000000006,26.7514,27.6728,mof_primitive
137.1449,266.22,415.12420000000003,478.30539999999996,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.157600000000006,26.7514,27.6728,mof_primitive
137.1449,266.22,415.12420000000003,478.30539999999996,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.157600000000006,26.7514,27.6728,mof_primitive
137.1449,266.22,415.12420000000003,478.30539999999996,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.157600000000006,26.7514,27.6728,mof_primitive
137.1449,266.22,415.12420000000003,478.30539999999996,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.157600000000006,26.7514,27.6728,mof_primitive
137.1449,266.22,415.12420000000003,478.30539999999996,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.157600000000006,26.7514,27.6728,mof_primitive
137.1449,266.22,415.12420000000003,478.30539999999996,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.157600000000006,26.7514,27.6728,mof_primitive
137.1449,266.22,415.12420000000003,478.30539999999996,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.157600000000006,26.7514,27.6728,mof_primitive
137.1449,266.22,415.12420000000003,478.30539999999996,572.0,1116.0,1504.0,1438.0,20.0,40.0,62.0,72.0,102.0,242.0,302.0,284.0,8.455599999999999,19.157600000000006,26.7514,27.6728,mof_primitive
