lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
11.4016,9.893999999999998,22.33933333333333,25.955866666666665,61.5,54.0,121.33333333333331,130.66666666666666,1.0,1.1666666666666667,2.333333333333333,2.833333333333333,1.5,4.5,7.333333333333333,7.5,0.5378333333333333,0.6609166666666667,1.2975,1.4832833333333335,32.535000000000004,77.78166666666667,129.06333333333336,140.682538,0.0,0.9050000000000002,1.0683333333333336,1.3333333333333333,0.0,2.0,2.333333333333333,4.333333333333333,0.0,0.0,0.0,0.0,0.0,-2.0,-2.333333333333333,-2.0,0.0,-0.04,-0.0466666666666667,0.0799999999999999,0.0,-6.300000000000001,-7.600000000000001,-6.335703333333334,11.8336,8.771999999999998,20.605599999999995,19.2296,64.0,48.0,112.0,104.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,0.5328999999999999,0.5621,1.095,1.1096,28.09,59.89,87.98,99.11,0.0,0.8900000000000001,0.8900000000000001,1.29,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.04,-0.04,-0.06,0.0,-6.000000000000001,-6.000000000000001,-8.100000000000001,mof_primitive
11.4016,9.893999999999998,22.33933333333333,25.955866666666665,61.5,54.0,121.33333333333331,130.66666666666666,1.0,1.1666666666666667,2.333333333333333,2.833333333333333,1.5,4.5,7.333333333333333,7.5,0.5378333333333333,0.6609166666666667,1.2975,1.4832833333333333,32.535,77.78166666666667,129.06333333333336,140.682538,0.0,0.9050000000000002,1.0683333333333336,1.3333333333333333,0.0,2.0,2.333333333333333,4.333333333333333,0.0,0.0,0.0,0.0,0.0,-2.0,-2.333333333333333,-2.0,0.0,-0.04,-0.0466666666666667,0.0799999999999999,0.0,-6.300000000000001,-7.600000000000001,-6.335703333333334,11.8336,8.771999999999998,20.605599999999995,19.2296,64.0,48.0,112.0,104.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,0.5328999999999999,0.5621,1.095,1.1096,28.09,59.89,87.98,99.11,0.0,0.8900000000000001,0.8900000000000001,1.29,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.04,-0.04,-0.06,0.0,-6.000000000000001,-6.000000000000001,-8.100000000000001,mof_primitive
11.8336,0.0,0.0,0.0,64.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5328999999999999,0.0,0.0,0.0,28.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
11.8336,0.0,0.0,0.0,64.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5328999999999999,0.0,0.0,0.0,28.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
11.8336,0.0,0.0,0.0,64.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5328999999999999,0.0,0.0,0.0,28.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
11.8336,0.0,0.0,0.0,64.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5328999999999999,0.0,0.0,0.0,28.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
11.8336,0.0,0.0,0.0,64.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5328999999999999,0.0,0.0,0.0,28.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
11.8336,0.0,0.0,0.0,64.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5328999999999999,0.0,0.0,0.0,28.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
11.4016,9.893999999999998,22.33933333333333,25.955866666666665,61.5,54.0,121.33333333333333,130.66666666666666,1.0,1.1666666666666667,2.3333333333333335,2.8333333333333335,1.5,4.5,7.333333333333333,7.5,0.5378333333333333,0.6609166666666667,1.2975,1.4832833333333335,32.535000000000004,77.78166666666667,129.06333333333336,140.682538,0.0,0.9050000000000002,1.0683333333333336,1.3333333333333333,0.0,2.0,2.3333333333333335,4.333333333333333,0.0,0.0,0.0,0.0,0.0,-2.0,-2.3333333333333335,-2.0,0.0,-0.040000000000000036,-0.04666666666666671,0.07999999999999996,0.0,-6.300000000000001,-7.600000000000001,-6.335703333333334,11.833599999999999,8.771999999999998,20.605599999999995,19.229599999999998,64.0,48.0,112.0,104.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,0.5328999999999999,0.5621,1.095,1.1096,28.09,59.89,87.98,99.11,0.0,0.8900000000000001,0.8900000000000001,1.29,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.06000000000000005,0.0,-6.000000000000001,-6.000000000000001,-8.100000000000001,mof_primitive
11.4016,9.893999999999998,22.33933333333333,25.955866666666665,61.5,54.0,121.33333333333333,130.66666666666666,1.0,1.1666666666666667,2.3333333333333335,2.8333333333333335,1.5,4.5,7.333333333333333,7.5,0.5378333333333333,0.6609166666666667,1.2975,1.4832833333333333,32.535,77.78166666666667,129.06333333333336,140.682538,0.0,0.9050000000000002,1.0683333333333336,1.3333333333333333,0.0,2.0,2.3333333333333335,4.333333333333333,0.0,0.0,0.0,0.0,0.0,-2.0,-2.3333333333333335,-2.0,0.0,-0.040000000000000036,-0.04666666666666671,0.07999999999999996,0.0,-6.300000000000001,-7.600000000000001,-6.335703333333334,11.833599999999999,8.771999999999998,20.605599999999995,19.229599999999998,64.0,48.0,112.0,104.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,0.5328999999999999,0.5621,1.095,1.1096,28.09,59.89,87.98,99.11,0.0,0.8900000000000001,0.8900000000000001,1.29,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.06000000000000005,0.0,-6.000000000000001,-6.000000000000001,-8.100000000000001,mof_primitive
