f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
199.7744,403.4610000000001,628.0204000000003,772.4469999999997,842.0,1728.0,2464.0,2506.0,30.0,62.0,96.0,124.0,158.0,390.0,544.0,580.0,12.987000000000007,30.35340000000001,44.112000000000016,49.9868,mof_primitive
297.3532,676.5660000000004,1065.65,1350.467,1126.0,2736.0,3848.0,4208.0,50.0,108.0,172.0,226.0,280.0,708.0,1036.0,1198.0,20.46420000000001,51.59000000000002,77.1564,90.89859999999996,mof_primitive
199.7744,403.461,628.0203999999999,772.447,842.0,1728.0,2464.0,2506.0,30.0,62.0,96.0,124.0,158.0,390.0,544.0,580.0,12.987000000000002,30.353400000000008,44.112000000000016,49.98680000000001,mof_primitive
297.3532,676.5660000000004,1065.65,1350.467,1126.0,2736.0,3848.0,4208.0,50.0,108.0,172.0,226.0,280.0,708.0,1036.0,1198.0,20.46420000000001,51.59000000000002,77.1564,90.89859999999996,mof_primitive
199.7744,403.4610000000002,628.0204000000002,772.4469999999997,842.0,1728.0,2464.0,2506.0,30.0,62.0,96.0,124.0,158.0,390.0,544.0,580.0,12.987000000000007,30.35340000000001,44.11200000000001,49.98679999999999,mof_primitive
199.7744,403.4610000000001,628.0204000000001,772.4469999999997,842.0,1728.0,2464.0,2506.0,30.0,62.0,96.0,124.0,158.0,390.0,544.0,580.0,12.987000000000007,30.353400000000008,44.11200000000001,49.9868,mof_primitive
199.77439999999999,403.4610000000001,628.0204000000003,772.4469999999997,842.0,1728.0,2464.0,2506.0,30.0,62.0,96.0,124.0,158.0,390.0,544.0,580.0,12.987000000000007,30.35340000000001,44.112000000000016,49.986799999999995,mof_primitive
297.3532,676.5660000000004,1065.6499999999999,1350.4669999999999,1126.0,2736.0,3848.0,4208.0,50.0,108.0,172.0,226.0,280.0,708.0,1036.0,1198.0,20.464200000000012,51.59000000000002,77.1564,90.89859999999997,mof_primitive
199.77439999999999,403.461,628.0203999999999,772.447,842.0,1728.0,2464.0,2506.0,30.0,62.0,96.0,124.0,158.0,390.0,544.0,580.0,12.987000000000002,30.353400000000008,44.112000000000016,49.98680000000001,mof_primitive
297.3532,676.5660000000004,1065.6499999999999,1350.4669999999999,1126.0,2736.0,3848.0,4208.0,50.0,108.0,172.0,226.0,280.0,708.0,1036.0,1198.0,20.464200000000012,51.59000000000002,77.1564,90.89859999999997,mof_primitive
199.7744,403.4610000000002,628.0204000000002,772.4469999999997,842.0,1728.0,2464.0,2506.0,30.0,62.0,96.0,124.0,158.0,390.0,544.0,580.0,12.987000000000009,30.35340000000001,44.11200000000001,49.98679999999999,mof_primitive
199.7744,403.4610000000001,628.0204000000001,772.4469999999997,842.0,1728.0,2464.0,2506.0,30.0,62.0,96.0,124.0,158.0,390.0,544.0,580.0,12.987000000000009,30.353400000000008,44.11200000000001,49.986799999999995,mof_primitive
