lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
10.5376,12.137999999999998,26.0196,23.744,56.5,66.0,126.0,114.5,1.0,1.5,3.0,3.0,2.5,7.5,12.0,14.5,0.5477,0.85855,1.545,1.5671,41.425,113.565,171.66630700000002,201.996307,0.0,0.9350000000000004,1.3550000000000002,2.0450000000000004,0.0,2.0,5.0,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,0.1499999999999999,0.1199999999999999,0.0,-6.9,-5.453555000000001,-10.403555,10.9696,13.6,30.545066666666667,38.64,59.0,74.0,144.66666666666666,160.0,1.0,1.6666666666666667,3.6666666666666665,5.0,3.6666666666666665,12.0,24.0,28.33333333333333,0.5427666666666666,0.9522333333333334,1.8849,2.3645,36.98,123.54666666666668,225.990099,299.52604633333334,0.0,1.0833333333333337,2.103333333333333,3.7000000000000006,0.0,2.333333333333333,7.333333333333333,15.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-1.6666666666666667,-1.3333333333333333,0.0,-0.0466666666666667,0.1866666666666666,0.5333333333333332,0.0,-7.900000000000001,-9.271406666666666,-11.678516666666669,mof_primitive
10.5376,12.137999999999998,26.0196,23.744,56.5,66.0,126.0,114.5,1.0,1.5,3.0,3.0,2.5,7.5,12.0,14.5,0.5477,0.85855,1.545,1.5671,41.425,113.565,171.66630700000002,201.996307,0.0,0.9350000000000004,1.3550000000000002,2.0450000000000004,0.0,2.0,5.0,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,0.1499999999999999,0.1199999999999999,0.0,-6.9,-5.453555000000001,-10.403555,10.9696,13.6,30.545066666666667,38.64,59.0,74.0,144.66666666666666,160.0,1.0,1.6666666666666667,3.6666666666666665,5.0,3.6666666666666665,12.0,24.0,28.33333333333333,0.5427666666666666,0.9522333333333334,1.8849,2.3645,36.98,123.54666666666668,225.990099,299.52604633333334,0.0,1.0833333333333337,2.103333333333334,3.7000000000000006,0.0,2.333333333333333,7.333333333333333,15.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-1.6666666666666667,-1.3333333333333333,0.0,-0.0466666666666667,0.1866666666666666,0.5333333333333332,0.0,-7.900000000000001,-9.271406666666666,-11.678516666666669,mof_primitive
10.5376,12.137999999999998,26.0196,23.744,56.5,66.0,126.0,114.5,1.0,1.5,3.0,3.0,2.5,7.5,12.0,14.5,0.5477,0.85855,1.545,1.5671000000000002,41.425,113.565,171.66630700000002,201.996307,0.0,0.9350000000000004,1.3550000000000002,2.0450000000000004,0.0,2.0,5.0,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,0.1499999999999999,0.1199999999999999,0.0,-6.9,-5.453555000000001,-10.403555,10.9696,13.6,30.545066666666667,38.64,59.0,74.0,144.66666666666666,160.0,1.0,1.6666666666666667,3.6666666666666665,5.0,3.6666666666666665,12.0,24.0,28.33333333333333,0.5427666666666666,0.9522333333333334,1.8849,2.3645,36.98,123.54666666666668,225.990099,299.52604633333334,0.0,1.0833333333333337,2.103333333333333,3.7000000000000006,0.0,2.333333333333333,7.333333333333333,15.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-1.6666666666666667,-1.3333333333333333,0.0,-0.0466666666666667,0.1866666666666666,0.5333333333333332,0.0,-7.900000000000001,-9.271406666666667,-11.678516666666669,mof_primitive
10.5376,12.137999999999998,26.0196,23.744,56.5,66.0,126.0,114.5,1.0,1.5,3.0,3.0,2.5,7.5,12.0,14.5,0.5477,0.85855,1.545,1.5671000000000002,41.425,113.565,171.66630700000002,201.996307,0.0,0.9350000000000004,1.3550000000000002,2.0450000000000004,0.0,2.0,5.0,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,0.1499999999999999,0.1199999999999999,0.0,-6.9,-5.453555000000001,-10.403555,10.9696,13.6,30.545066666666667,38.64,59.0,74.0,144.66666666666666,160.0,1.0,1.6666666666666667,3.6666666666666665,5.0,3.6666666666666665,12.0,24.0,28.33333333333333,0.5427666666666666,0.9522333333333334,1.8849,2.3645,36.98,123.54666666666668,225.990099,299.52604633333334,0.0,1.0833333333333337,2.103333333333333,3.7000000000000006,0.0,2.333333333333333,7.333333333333333,15.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-1.6666666666666667,-1.3333333333333333,0.0,-0.0466666666666667,0.1866666666666666,0.5333333333333332,0.0,-7.900000000000001,-9.271406666666667,-11.678516666666669,mof_primitive
10.5376,12.137999999999998,26.0196,23.744,56.5,66.0,126.0,114.5,1.0,1.5,3.0,3.0,2.5,7.5,12.0,14.5,0.5477,0.85855,1.545,1.5671,41.425,113.565,171.66630700000002,201.996307,0.0,0.9350000000000004,1.3550000000000002,2.0450000000000004,0.0,2.0,5.0,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,0.1499999999999999,0.1199999999999999,0.0,-6.9,-5.453555000000001,-10.403555,10.9696,13.6,30.545066666666667,38.64,59.0,74.0,144.66666666666666,160.0,1.0,1.6666666666666667,3.6666666666666665,5.0,3.6666666666666665,12.0,24.0,28.33333333333333,0.5427666666666666,0.9522333333333334,1.8849,2.3645,36.98,123.54666666666668,225.990099,299.52604633333334,0.0,1.0833333333333337,2.103333333333333,3.7000000000000006,0.0,2.333333333333333,7.333333333333333,15.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-1.6666666666666667,-1.3333333333333333,0.0,-0.0466666666666667,0.1866666666666666,0.5333333333333332,0.0,-7.900000000000001,-9.271406666666666,-11.678516666666669,mof_primitive
10.5376,12.137999999999998,26.0196,23.744,56.5,66.0,126.0,114.5,1.0,1.5,3.0,3.0,2.5,7.5,12.0,14.5,0.5477,0.85855,1.545,1.5671,41.425,113.565,171.66630700000002,201.996307,0.0,0.9350000000000004,1.3550000000000002,2.0450000000000004,0.0,2.0,5.0,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,0.1499999999999999,0.1199999999999999,0.0,-6.9,-5.453555000000001,-10.403555,10.9696,13.6,30.545066666666667,38.64,59.0,74.0,144.66666666666666,160.0,1.0,1.6666666666666667,3.6666666666666665,5.0,3.6666666666666665,12.0,24.0,28.33333333333333,0.5427666666666666,0.9522333333333334,1.8849,2.3645,36.98,123.54666666666668,225.990099,299.52604633333334,0.0,1.0833333333333337,2.103333333333334,3.7000000000000006,0.0,2.333333333333333,7.333333333333333,15.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-1.6666666666666667,-1.3333333333333333,0.0,-0.0466666666666667,0.1866666666666666,0.5333333333333332,0.0,-7.900000000000001,-9.271406666666666,-11.678516666666669,mof_primitive
10.5376,12.137999999999998,26.0196,23.744,56.5,66.0,126.0,114.5,1.0,1.5,3.0,3.0,2.5,7.5,12.0,14.5,0.5477,0.85855,1.545,1.5671000000000002,41.425,113.565,171.66630700000002,201.996307,0.0,0.9350000000000004,1.3550000000000002,2.0450000000000004,0.0,2.0,5.0,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,0.1499999999999999,0.1199999999999999,0.0,-6.9,-5.453555000000001,-10.403555,10.9696,13.6,30.545066666666667,38.64,59.0,74.0,144.66666666666666,160.0,1.0,1.6666666666666667,3.6666666666666665,5.0,3.6666666666666665,12.0,24.0,28.33333333333333,0.5427666666666666,0.9522333333333334,1.8849,2.3645,36.98,123.54666666666668,225.990099,299.52604633333334,0.0,1.0833333333333337,2.103333333333333,3.7000000000000006,0.0,2.333333333333333,7.333333333333333,15.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-1.6666666666666667,-1.3333333333333333,0.0,-0.0466666666666667,0.1866666666666666,0.5333333333333332,0.0,-7.900000000000001,-9.271406666666667,-11.678516666666669,mof_primitive
10.5376,12.137999999999998,26.0196,23.744,56.5,66.0,126.0,114.5,1.0,1.5,3.0,3.0,2.5,7.5,12.0,14.5,0.5477,0.85855,1.545,1.5671000000000002,41.425,113.565,171.66630700000002,201.996307,0.0,0.9350000000000004,1.3550000000000002,2.0450000000000004,0.0,2.0,5.0,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,0.1499999999999999,0.1199999999999999,0.0,-6.9,-5.453555000000001,-10.403555,10.9696,13.6,30.545066666666667,38.64,59.0,74.0,144.66666666666666,160.0,1.0,1.6666666666666667,3.6666666666666665,5.0,3.6666666666666665,12.0,24.0,28.33333333333333,0.5427666666666666,0.9522333333333334,1.8849,2.3645,36.98,123.54666666666668,225.990099,299.52604633333334,0.0,1.0833333333333337,2.103333333333333,3.7000000000000006,0.0,2.333333333333333,7.333333333333333,15.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-1.6666666666666667,-1.3333333333333333,0.0,-0.0466666666666667,0.1866666666666666,0.5333333333333332,0.0,-7.900000000000001,-9.271406666666667,-11.678516666666669,mof_primitive
10.5376,12.137999999999998,26.019599999999997,23.744,56.5,66.0,126.0,114.5,1.0,1.5,3.0,3.0,2.5,7.5,12.0,14.5,0.5477,0.85855,1.545,1.5671,41.425000000000004,113.565,171.66630700000002,201.996307,0.0,0.9350000000000003,1.3550000000000002,2.0450000000000004,0.0,2.0,5.0,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,0.14999999999999997,0.11999999999999994,0.0,-6.9,-5.453555000000001,-10.403555,10.9696,13.6,30.545066666666667,38.64,59.0,74.0,144.66666666666666,160.0,1.0,1.6666666666666667,3.6666666666666665,5.0,3.6666666666666665,12.0,24.0,28.333333333333332,0.5427666666666666,0.9522333333333334,1.8849,2.3645,36.980000000000004,123.54666666666667,225.99009900000001,299.52604633333334,0.0,1.0833333333333337,2.1033333333333335,3.7000000000000006,0.0,2.3333333333333335,7.333333333333333,15.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-1.6666666666666667,-1.3333333333333333,0.0,-0.04666666666666671,0.18666666666666662,0.5333333333333332,0.0,-7.900000000000001,-9.271406666666666,-11.678516666666667,mof_primitive
10.5376,12.137999999999998,26.019599999999997,23.744,56.5,66.0,126.0,114.5,1.0,1.5,3.0,3.0,2.5,7.5,12.0,14.5,0.5477,0.85855,1.545,1.5671,41.425000000000004,113.565,171.66630700000002,201.996307,0.0,0.9350000000000003,1.3550000000000002,2.0450000000000004,0.0,2.0,5.0,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,0.14999999999999997,0.11999999999999994,0.0,-6.9,-5.453555000000001,-10.403555,10.9696,13.6,30.545066666666667,38.64,59.0,74.0,144.66666666666666,160.0,1.0,1.6666666666666667,3.6666666666666665,5.0,3.6666666666666665,12.0,24.0,28.333333333333332,0.5427666666666666,0.9522333333333334,1.8849000000000002,2.3645,36.980000000000004,123.54666666666667,225.99009900000001,299.52604633333334,0.0,1.0833333333333337,2.103333333333334,3.7000000000000006,0.0,2.3333333333333335,7.333333333333333,15.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-1.6666666666666667,-1.3333333333333333,0.0,-0.04666666666666671,0.18666666666666662,0.5333333333333332,0.0,-7.900000000000001,-9.271406666666666,-11.678516666666667,mof_primitive
10.5376,12.137999999999998,26.019599999999997,23.744,56.5,66.0,126.0,114.5,1.0,1.5,3.0,3.0,2.5,7.5,12.0,14.5,0.5477,0.85855,1.545,1.5671000000000002,41.425000000000004,113.565,171.66630700000002,201.996307,0.0,0.9350000000000003,1.3550000000000002,2.0450000000000004,0.0,2.0,5.0,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,0.14999999999999997,0.11999999999999994,0.0,-6.9,-5.453555000000001,-10.403555,10.9696,13.6,30.545066666666667,38.64,59.0,74.0,144.66666666666666,160.0,1.0,1.6666666666666667,3.6666666666666665,5.0,3.6666666666666665,12.0,24.0,28.333333333333332,0.5427666666666666,0.9522333333333334,1.8849,2.3645,36.980000000000004,123.54666666666667,225.99009900000001,299.52604633333334,0.0,1.0833333333333337,2.1033333333333335,3.7000000000000006,0.0,2.3333333333333335,7.333333333333333,15.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-1.6666666666666667,-1.3333333333333333,0.0,-0.04666666666666671,0.18666666666666662,0.5333333333333332,0.0,-7.900000000000001,-9.271406666666667,-11.678516666666667,mof_primitive
10.5376,12.137999999999998,26.019599999999997,23.744,56.5,66.0,126.0,114.5,1.0,1.5,3.0,3.0,2.5,7.5,12.0,14.5,0.5477,0.85855,1.545,1.5671000000000002,41.425000000000004,113.565,171.66630700000002,201.996307,0.0,0.9350000000000003,1.3550000000000002,2.0450000000000004,0.0,2.0,5.0,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,0.14999999999999997,0.11999999999999994,0.0,-6.9,-5.453555000000001,-10.403555,10.9696,13.6,30.545066666666667,38.64,59.0,74.0,144.66666666666666,160.0,1.0,1.6666666666666667,3.6666666666666665,5.0,3.6666666666666665,12.0,24.0,28.333333333333332,0.5427666666666666,0.9522333333333334,1.8849,2.3645,36.980000000000004,123.54666666666667,225.99009900000001,299.52604633333334,0.0,1.0833333333333337,2.1033333333333335,3.7000000000000006,0.0,2.3333333333333335,7.333333333333333,15.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-1.6666666666666667,-1.3333333333333333,0.0,-0.04666666666666671,0.18666666666666662,0.5333333333333332,0.0,-7.900000000000001,-9.271406666666667,-11.678516666666669,mof_primitive
10.5376,12.137999999999998,26.019599999999997,23.744,56.5,66.0,126.0,114.5,1.0,1.5,3.0,3.0,2.5,7.5,12.0,14.5,0.5477,0.85855,1.545,1.5671,41.425000000000004,113.565,171.66630700000002,201.996307,0.0,0.9350000000000003,1.3550000000000002,2.0450000000000004,0.0,2.0,5.0,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,0.14999999999999997,0.11999999999999994,0.0,-6.9,-5.453555000000001,-10.403555,10.9696,13.6,30.545066666666667,38.64,59.0,74.0,144.66666666666666,160.0,1.0,1.6666666666666667,3.6666666666666665,5.0,3.6666666666666665,12.0,24.0,28.333333333333332,0.5427666666666666,0.9522333333333334,1.8849,2.3645,36.980000000000004,123.54666666666667,225.99009900000001,299.52604633333334,0.0,1.0833333333333337,2.1033333333333335,3.7000000000000006,0.0,2.3333333333333335,7.333333333333333,15.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-1.6666666666666667,-1.3333333333333333,0.0,-0.04666666666666671,0.18666666666666662,0.5333333333333332,0.0,-7.900000000000001,-9.271406666666666,-11.678516666666667,mof_primitive
10.5376,12.137999999999998,26.019599999999997,23.744,56.5,66.0,126.0,114.5,1.0,1.5,3.0,3.0,2.5,7.5,12.0,14.5,0.5477,0.85855,1.545,1.5671,41.425000000000004,113.565,171.66630700000002,201.996307,0.0,0.9350000000000003,1.3550000000000002,2.0450000000000004,0.0,2.0,5.0,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,0.14999999999999997,0.11999999999999994,0.0,-6.9,-5.453555000000001,-10.403555,10.9696,13.6,30.545066666666667,38.64,59.0,74.0,144.66666666666666,160.0,1.0,1.6666666666666667,3.6666666666666665,5.0,3.6666666666666665,12.0,24.0,28.333333333333332,0.5427666666666666,0.9522333333333334,1.8849000000000002,2.3645,36.980000000000004,123.54666666666667,225.99009900000001,299.52604633333334,0.0,1.0833333333333337,2.103333333333334,3.7000000000000006,0.0,2.3333333333333335,7.333333333333333,15.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-1.6666666666666667,-1.3333333333333333,0.0,-0.04666666666666671,0.18666666666666662,0.5333333333333332,0.0,-7.900000000000001,-9.271406666666666,-11.678516666666667,mof_primitive
10.5376,12.137999999999998,26.019599999999997,23.744,56.5,66.0,126.0,114.5,1.0,1.5,3.0,3.0,2.5,7.5,12.0,14.5,0.5477,0.85855,1.545,1.5671000000000002,41.425000000000004,113.565,171.66630700000002,201.996307,0.0,0.9350000000000003,1.3550000000000002,2.0450000000000004,0.0,2.0,5.0,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,0.14999999999999997,0.11999999999999994,0.0,-6.9,-5.453555000000001,-10.403555,10.9696,13.6,30.545066666666667,38.64,59.0,74.0,144.66666666666666,160.0,1.0,1.6666666666666667,3.6666666666666665,5.0,3.6666666666666665,12.0,24.0,28.333333333333332,0.5427666666666666,0.9522333333333334,1.8849,2.3645,36.980000000000004,123.54666666666667,225.99009900000001,299.52604633333334,0.0,1.0833333333333337,2.1033333333333335,3.7000000000000006,0.0,2.3333333333333335,7.333333333333333,15.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-1.6666666666666667,-1.3333333333333333,0.0,-0.04666666666666671,0.18666666666666662,0.5333333333333332,0.0,-7.900000000000001,-9.271406666666667,-11.678516666666667,mof_primitive
10.5376,12.137999999999998,26.019599999999997,23.744,56.5,66.0,126.0,114.5,1.0,1.5,3.0,3.0,2.5,7.5,12.0,14.5,0.5477,0.85855,1.545,1.5671000000000002,41.425000000000004,113.565,171.66630700000002,201.996307,0.0,0.9350000000000003,1.3550000000000002,2.0450000000000004,0.0,2.0,5.0,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,0.14999999999999997,0.11999999999999994,0.0,-6.9,-5.453555000000001,-10.403555,10.9696,13.6,30.545066666666667,38.64,59.0,74.0,144.66666666666666,160.0,1.0,1.6666666666666667,3.6666666666666665,5.0,3.6666666666666665,12.0,24.0,28.333333333333332,0.5427666666666666,0.9522333333333334,1.8849,2.3645,36.980000000000004,123.54666666666667,225.99009900000001,299.52604633333334,0.0,1.0833333333333337,2.1033333333333335,3.7000000000000006,0.0,2.3333333333333335,7.333333333333333,15.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-1.6666666666666667,-1.3333333333333333,0.0,-0.04666666666666671,0.18666666666666662,0.5333333333333332,0.0,-7.900000000000001,-9.271406666666667,-11.678516666666669,mof_primitive
