f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,name
131.7288,291.53600000000006,451.8408000000002,504.6399999999998,15084.0,39184.0,55776.0,32432.0,20.0,48.0,72.0,80.0,144.0,432.0,588.0,528.0,22.4508,63.88799999999999,93.31760000000004,92.04,3.61,20.93799999999999,20.519999999999992,42.959,841.0,4814.0,2871.0,2755.0,1.0,4.0,5.0,8.0,16.0,48.0,72.0,84.0,1.9044,6.830999999999997,7.8384,8.680200000000005,0.0,-3.4200000000000013,-1.3000000000000005,-7.409999999999999,0.0,-50.0,46.0,137.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,11.0,0.0,0.5700000000000002,1.219999999999999,4.749999999999999,mof_primitive
131.7288,291.53600000000006,451.8408000000003,504.6399999999998,15084.0,39184.0,55776.0,32432.0,20.0,48.0,72.0,80.0,144.0,432.0,588.0,528.0,22.4508,63.887999999999984,93.31760000000004,92.04,3.61,20.93799999999999,20.519999999999992,42.959,841.0,4814.0,2871.0,2755.0,1.0,4.0,5.0,8.0,16.0,48.0,72.0,84.0,1.9044,6.830999999999997,7.8384,8.680200000000005,0.0,-3.4200000000000013,-1.3000000000000005,-7.409999999999999,0.0,-50.0,46.0,137.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,11.0,0.0,0.5700000000000002,1.219999999999999,4.749999999999999,mof_primitive
131.72880000000004,291.53600000000006,451.8408000000002,504.6399999999999,15084.0,39184.0,55776.0,32432.0,20.0,48.0,72.0,80.0,144.0,432.0,588.0,528.0,22.4508,63.887999999999984,93.31760000000004,92.03999999999998,3.61,20.93799999999999,20.519999999999992,42.959,841.0,4814.0,2871.0,2755.0,1.0,4.0,5.0,8.0,16.0,48.0,72.0,84.0,1.9044,6.830999999999997,7.8384,8.680200000000005,0.0,-3.4200000000000013,-1.3000000000000005,-7.409999999999999,0.0,-50.0,46.0,137.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,11.0,0.0,0.5700000000000002,1.219999999999999,4.749999999999999,mof_primitive
131.7288,291.53600000000006,451.8408000000003,504.6399999999998,15084.0,39184.0,55776.0,32432.0,20.0,48.0,72.0,80.0,144.0,432.0,588.0,528.0,22.4508,63.887999999999984,93.31760000000004,92.03999999999998,3.61,20.93799999999999,20.519999999999992,42.959,841.0,4814.0,2871.0,2755.0,1.0,4.0,5.0,8.0,16.0,48.0,72.0,84.0,1.9044,6.830999999999997,7.8384,8.680200000000005,0.0,-3.4200000000000013,-1.3000000000000005,-7.409999999999999,0.0,-50.0,46.0,137.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,11.0,0.0,0.5700000000000002,1.219999999999999,4.749999999999999,mof_primitive
131.7288,291.53600000000006,451.8408000000003,504.6399999999998,15084.0,39184.0,55776.0,32432.0,20.0,48.0,72.0,80.0,144.0,432.0,588.0,528.0,22.4508,63.887999999999984,93.31760000000004,92.03999999999996,3.61,20.93799999999999,20.519999999999992,42.959,841.0,4814.0,2871.0,2755.0,1.0,4.0,5.0,8.0,16.0,48.0,72.0,84.0,1.9044,6.830999999999997,7.8384,8.680200000000005,0.0,-3.4200000000000013,-1.3000000000000005,-7.409999999999999,0.0,-50.0,46.0,137.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,11.0,0.0,0.5700000000000002,1.219999999999999,4.749999999999999,mof_primitive
131.7288,291.5360000000001,451.8408000000003,504.6399999999998,15084.0,39184.0,55776.0,32432.0,20.0,48.0,72.0,80.0,144.0,432.0,588.0,528.0,22.4508,63.887999999999984,93.31760000000004,92.03999999999996,3.61,20.93799999999999,20.519999999999992,42.959,841.0,4814.0,2871.0,2755.0,1.0,4.0,5.0,8.0,16.0,48.0,72.0,84.0,1.9044,6.830999999999997,7.8384,8.680200000000005,0.0,-3.4200000000000013,-1.3000000000000005,-7.409999999999999,0.0,-50.0,46.0,137.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,11.0,0.0,0.5700000000000002,1.219999999999999,4.749999999999999,mof_primitive
131.7288,291.53600000000006,451.84080000000023,504.6399999999998,15084.0,39184.0,55776.0,32432.0,20.0,48.0,72.0,80.0,144.0,432.0,588.0,528.0,22.450799999999997,63.88799999999999,93.31760000000004,92.03999999999999,3.61,20.93799999999999,20.519999999999992,42.959,841.0,4814.0,2871.0,2755.0,1.0,4.0,5.0,8.0,16.0,48.0,72.0,84.0,1.9044,6.830999999999997,7.8384,8.680200000000005,0.0,-3.4200000000000013,-1.3000000000000005,-7.409999999999999,0.0,-50.0,46.0,137.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,11.0,0.0,0.5700000000000002,1.219999999999999,4.749999999999999,mof_primitive
131.7288,291.53600000000006,451.8408000000003,504.6399999999998,15084.0,39184.0,55776.0,32432.0,20.0,48.0,72.0,80.0,144.0,432.0,588.0,528.0,22.450799999999997,63.887999999999984,93.31760000000004,92.03999999999999,3.61,20.93799999999999,20.519999999999992,42.959,841.0,4814.0,2871.0,2755.0,1.0,4.0,5.0,8.0,16.0,48.0,72.0,84.0,1.9044,6.830999999999997,7.8384,8.680200000000005,0.0,-3.4200000000000013,-1.3000000000000005,-7.409999999999999,0.0,-50.0,46.0,137.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,11.0,0.0,0.5700000000000002,1.219999999999999,4.749999999999999,mof_primitive
131.72880000000004,291.53600000000006,451.84080000000023,504.6399999999999,15084.0,39184.0,55776.0,32432.0,20.0,48.0,72.0,80.0,144.0,432.0,588.0,528.0,22.450799999999997,63.887999999999984,93.31760000000003,92.03999999999998,3.61,20.93799999999999,20.519999999999992,42.959,841.0,4814.0,2871.0,2755.0,1.0,4.0,5.0,8.0,16.0,48.0,72.0,84.0,1.9044,6.830999999999997,7.8384,8.680200000000005,0.0,-3.4200000000000013,-1.3000000000000005,-7.409999999999999,0.0,-50.0,46.0,137.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,11.0,0.0,0.5700000000000002,1.219999999999999,4.749999999999999,mof_primitive
131.7288,291.53600000000006,451.8408000000003,504.6399999999998,15084.0,39184.0,55776.0,32432.0,20.0,48.0,72.0,80.0,144.0,432.0,588.0,528.0,22.450799999999997,63.887999999999984,93.31760000000004,92.03999999999998,3.61,20.93799999999999,20.519999999999992,42.959,841.0,4814.0,2871.0,2755.0,1.0,4.0,5.0,8.0,16.0,48.0,72.0,84.0,1.9044,6.830999999999997,7.8384,8.680200000000005,0.0,-3.4200000000000013,-1.3000000000000005,-7.409999999999999,0.0,-50.0,46.0,137.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,11.0,0.0,0.5700000000000002,1.219999999999999,4.749999999999999,mof_primitive
