f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,name
194.4874,384.0767999999999,853.863,1080.776,2477.0,6294.0,9292.0,9378.0,23.0,52.0,94.0,132.0,158.0,452.0,650.0,672.0,15.0549,38.15000000000001,63.49599999999997,81.90279999999998,3.534399999999999,33.56927999999999,30.17776,61.67528,729.0,1117.8,1263.6,1663.2,1.0,5.4,6.4,12.2,29.8,72.0,114.0,163.4,1.5876000000000008,5.012280000000001,6.456240000000001,9.86076,0.0,-7.704000000000001,-4.019999999999999,-9.87,0.0,104.4,126.0,267.8,0.0,0.0,0.0,0.0,0.0,16.8,15.2,39.0,0.0,2.826,2.9400000000000004,7.545999999999999,mof_primitive
194.4874,384.0767999999999,853.863,1080.7759999999998,2477.0,6294.0,9292.0,9378.0,23.0,52.0,94.0,132.0,158.0,452.0,650.0,672.0,15.0549,38.15000000000001,63.49599999999997,81.90280000000001,3.534399999999999,33.56927999999999,30.17776,61.67528,729.0,1117.8,1263.6,1663.2,1.0,5.4,6.4,12.2,29.8,72.0,114.0,163.4,1.5876000000000008,5.012280000000001,6.456240000000001,9.86076,0.0,-7.704000000000001,-4.019999999999999,-9.87,0.0,104.4,126.0,267.8,0.0,0.0,0.0,0.0,0.0,16.8,15.2,39.0,0.0,2.826,2.9400000000000004,7.545999999999999,mof_primitive
96.5334,176.31199999999998,298.514,387.192,1235.0,2676.0,3242.0,2112.0,12.0,24.0,36.0,46.0,64.0,164.0,188.0,124.0,7.8687,17.291400000000003,24.9064,26.103,3.534399999999999,33.56927999999999,30.17776,61.67528,729.0,1117.8,1263.6,1663.2,1.0,5.4,6.4,12.2,29.8,72.0,114.0,163.4,1.5876000000000008,5.012280000000001,6.456240000000001,9.86076,0.0,-7.704000000000001,-4.019999999999999,-9.87,0.0,104.4,126.0,267.8,0.0,0.0,0.0,0.0,0.0,16.8,15.2,39.0,0.0,2.826,2.9400000000000004,7.545999999999999,mof_primitive
96.5334,176.312,298.5139999999999,387.192,1235.0,2676.0,3242.0,2112.0,12.0,24.0,36.0,46.0,64.0,164.0,188.0,124.0,7.8687,17.2914,24.9064,26.103,3.534399999999999,33.56927999999999,30.17776,61.67528,729.0,1117.8,1263.6,1663.2,1.0,5.4,6.4,12.2,29.8,72.0,114.0,163.4,1.5876000000000008,5.012280000000001,6.456240000000001,9.86076,0.0,-7.704000000000001,-4.019999999999999,-9.87,0.0,104.4,126.0,267.8,0.0,0.0,0.0,0.0,0.0,16.8,15.2,39.0,0.0,2.826,2.9400000000000004,7.545999999999999,mof_primitive
118.78,218.7504,430.4069999999999,647.496,1356.0,3222.0,4494.0,3528.0,15.0,30.0,52.0,78.0,86.0,236.0,300.0,214.0,9.617,21.4914,35.50799999999999,44.3982,3.534399999999999,33.56927999999999,30.17776,61.67528,729.0,1117.8,1263.6,1663.2,1.0,5.4,6.4,12.2,29.8,72.0,114.0,163.4,1.5876000000000008,5.012280000000001,6.456240000000001,9.86076,0.0,-7.704000000000001,-4.019999999999999,-9.87,0.0,104.4,126.0,267.8,0.0,0.0,0.0,0.0,0.0,16.8,15.2,39.0,0.0,2.826,2.9400000000000004,7.545999999999999,mof_primitive
194.4874,384.07679999999993,853.863,1080.7759999999998,2477.0,6294.0,9292.0,9378.0,23.0,52.0,94.0,132.0,158.0,452.0,650.0,672.0,15.0549,38.15,63.49599999999997,81.9028,3.534399999999999,33.56927999999999,30.17776,61.67528,729.0,1117.8,1263.6,1663.2,1.0,5.4,6.4,12.2,29.8,72.0,114.0,163.4,1.5876000000000008,5.012280000000001,6.456240000000001,9.86076,0.0,-7.704000000000001,-4.019999999999999,-9.87,0.0,104.4,126.0,267.8,0.0,0.0,0.0,0.0,0.0,16.8,15.2,39.0,0.0,2.826,2.9400000000000004,7.545999999999999,mof_primitive
74.28679999999999,133.87359999999995,185.1042,188.904,1114.0,2130.0,2088.0,1032.0,9.0,18.0,22.0,22.0,44.0,104.0,102.0,58.0,6.1204,13.0914,15.429800000000002,12.4278,3.534399999999999,33.56927999999999,30.17776,61.67528,729.0,1117.8,1263.6,1663.2,1.0,5.4,6.4,12.2,29.8,72.0,114.0,163.4,1.5876000000000008,5.012280000000001,6.456240000000001,9.86076,0.0,-7.704000000000001,-4.019999999999999,-9.87,0.0,104.4,126.0,267.8,0.0,0.0,0.0,0.0,0.0,16.8,15.2,39.0,0.0,2.826,2.9400000000000004,7.545999999999999,mof_primitive
74.28679999999999,133.87359999999995,185.1042,188.904,1114.0,2130.0,2088.0,1032.0,9.0,18.0,22.0,22.0,44.0,104.0,102.0,58.0,6.1204,13.0914,15.429800000000004,12.4278,3.534399999999999,33.56927999999999,30.17776,61.67528,729.0,1117.8,1263.6,1663.2,1.0,5.4,6.4,12.2,29.8,72.0,114.0,163.4,1.5876000000000008,5.012280000000001,6.456240000000001,9.86076,0.0,-7.704000000000001,-4.019999999999999,-9.87,0.0,104.4,126.0,267.8,0.0,0.0,0.0,0.0,0.0,16.8,15.2,39.0,0.0,2.826,2.9400000000000004,7.545999999999999,mof_primitive
194.4874,384.0767999999998,853.863,1080.776,2477.0,6294.0,9292.0,9378.0,23.0,52.0,94.0,132.0,158.0,452.0,650.0,672.0,15.0549,38.150000000000006,63.49599999999997,81.90280000000001,3.534399999999999,33.56927999999999,30.17776,61.67528,729.0,1117.8,1263.6,1663.2,1.0,5.4,6.4,12.2,29.8,72.0,114.0,163.4,1.5876000000000008,5.012280000000001,6.456240000000001,9.86076,0.0,-7.704000000000001,-4.019999999999999,-9.87,0.0,104.4,126.0,267.8,0.0,0.0,0.0,0.0,0.0,16.8,15.2,39.0,0.0,2.826,2.9400000000000004,7.545999999999999,mof_primitive
118.78,218.7504,430.4069999999999,647.4959999999999,1356.0,3222.0,4494.0,3528.0,15.0,30.0,52.0,78.0,86.0,236.0,300.0,214.0,9.617,21.4914,35.508,44.3982,3.534399999999999,33.56927999999999,30.17776,61.67528,729.0,1117.8,1263.6,1663.2,1.0,5.4,6.4,12.2,29.8,72.0,114.0,163.4,1.5876000000000008,5.012280000000001,6.456240000000001,9.86076,0.0,-7.704000000000001,-4.019999999999999,-9.87,0.0,104.4,126.0,267.8,0.0,0.0,0.0,0.0,0.0,16.8,15.2,39.0,0.0,2.826,2.9400000000000004,7.545999999999999,mof_primitive
96.5334,176.312,298.51399999999995,387.192,1235.0,2676.0,3242.0,2112.0,12.0,24.0,36.0,46.0,64.0,164.0,188.0,124.0,7.8687,17.291400000000003,24.9064,26.103,3.534399999999999,33.56927999999999,30.17776,61.67528,729.0,1117.8,1263.6,1663.2,1.0,5.4,6.4,12.2,29.8,72.0,114.0,163.4,1.5876000000000008,5.012280000000001,6.456240000000001,9.86076,0.0,-7.704000000000001,-4.019999999999999,-9.87,0.0,104.4,126.0,267.8,0.0,0.0,0.0,0.0,0.0,16.8,15.2,39.0,0.0,2.826,2.9400000000000004,7.545999999999999,mof_primitive
74.28679999999999,133.87359999999998,185.1042,188.904,1114.0,2130.0,2088.0,1032.0,9.0,18.0,22.0,22.0,44.0,104.0,102.0,58.0,6.1204,13.0914,15.429800000000004,12.4278,3.534399999999999,33.56927999999999,30.17776,61.67528,729.0,1117.8,1263.6,1663.2,1.0,5.4,6.4,12.2,29.8,72.0,114.0,163.4,1.5876000000000008,5.012280000000001,6.456240000000001,9.86076,0.0,-7.704000000000001,-4.019999999999999,-9.87,0.0,104.4,126.0,267.8,0.0,0.0,0.0,0.0,0.0,16.8,15.2,39.0,0.0,2.826,2.9400000000000004,7.545999999999999,mof_primitive
96.5334,176.31199999999998,298.51399999999995,387.192,1235.0,2676.0,3242.0,2112.0,12.0,24.0,36.0,46.0,64.0,164.0,188.0,124.0,7.8687,17.291400000000003,24.90639999999999,26.103,3.534399999999999,33.56927999999999,30.17776,61.67528,729.0,1117.8,1263.6,1663.2,1.0,5.4,6.4,12.2,29.8,72.0,114.0,163.4,1.5876000000000008,5.012280000000001,6.456240000000001,9.86076,0.0,-7.704000000000001,-4.019999999999999,-9.87,0.0,104.4,126.0,267.8,0.0,0.0,0.0,0.0,0.0,16.8,15.2,39.0,0.0,2.826,2.9400000000000004,7.545999999999999,mof_primitive
118.78,218.7504,430.4069999999999,647.4959999999999,1356.0,3222.0,4494.0,3528.0,15.0,30.0,52.0,78.0,86.0,236.0,300.0,214.0,9.617,21.4914,35.508,44.39820000000001,3.534399999999999,33.56927999999999,30.17776,61.67528,729.0,1117.8,1263.6,1663.2,1.0,5.4,6.4,12.2,29.8,72.0,114.0,163.4,1.5876000000000008,5.012280000000001,6.456240000000001,9.86076,0.0,-7.704000000000001,-4.019999999999999,-9.87,0.0,104.4,126.0,267.8,0.0,0.0,0.0,0.0,0.0,16.8,15.2,39.0,0.0,2.826,2.9400000000000004,7.545999999999999,mof_primitive
74.28679999999999,133.87359999999998,185.1042,188.904,1114.0,2130.0,2088.0,1032.0,9.0,18.0,22.0,22.0,44.0,104.0,102.0,58.0,6.1204,13.0914,15.429800000000002,12.4278,3.534399999999999,33.56927999999999,30.17776,61.67528,729.0,1117.8,1263.6,1663.2,1.0,5.4,6.4,12.2,29.8,72.0,114.0,163.4,1.5876000000000008,5.012280000000001,6.456240000000001,9.86076,0.0,-7.704000000000001,-4.019999999999999,-9.87,0.0,104.4,126.0,267.8,0.0,0.0,0.0,0.0,0.0,16.8,15.2,39.0,0.0,2.826,2.9400000000000004,7.545999999999999,mof_primitive
118.78,218.7504,430.40699999999975,647.4959999999999,1356.0,3222.0,4494.0,3528.0,15.0,30.0,52.0,78.0,86.0,236.0,300.0,214.0,9.617,21.49140000000001,35.50799999999999,44.3982,3.534399999999999,33.56927999999999,30.17776,61.67528,729.0,1117.8,1263.6,1663.2,1.0,5.4,6.4,12.2,29.8,72.0,114.0,163.4,1.5876000000000008,5.012280000000001,6.456240000000001,9.86076,0.0,-7.704000000000001,-4.019999999999999,-9.87,0.0,104.4,126.0,267.8,0.0,0.0,0.0,0.0,0.0,16.8,15.2,39.0,0.0,2.826,2.9400000000000004,7.545999999999999,mof_primitive
194.48739999999998,384.0767999999999,853.863,1080.776,2477.0,6294.0,9292.0,9378.0,23.0,52.0,94.0,132.0,158.0,452.0,650.0,672.0,15.0549,38.15000000000001,63.495999999999974,81.90279999999998,3.534399999999999,33.56927999999999,30.177759999999996,61.67528,729.0,1117.8,1263.6,1663.2,1.0,5.4,6.4,12.2,29.8,72.0,114.0,163.4,1.5876000000000008,5.012280000000001,6.456240000000001,9.86076,0.0,-7.704000000000001,-4.019999999999999,-9.870000000000001,0.0,104.4,126.0,267.8,0.0,0.0,0.0,0.0,0.0,16.8,15.2,39.0,0.0,2.826,2.9400000000000004,7.545999999999999,mof_primitive
