lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
11.3152,9.37536,29.36064,18.46752,61.0,98.4,147.6,114.6,1.0,1.2,3.0,2.2,1.6,5.4,7.0,8.8,0.53882,0.8077000000000002,1.53774,1.28936,33.424,124.926,134.0270456,166.272,0.0,1.124,1.2440000000000002,1.7900000000000005,0.0,-3.4,4.4,2.0,0.0,0.0,0.0,0.0,0.0,-2.6,-1.6,-4.0,0.0,-0.214,0.1119999999999999,-0.134,0.0,-14.580000000000002,-5.202844000000001,-14.68,8.31485,18.47865,15.887299999999996,19.71105,144.5,249.0,146.0,160.5,1.0,2.5,2.0,3.0,8.5,13.5,14.0,17.0,0.82825,1.84985,1.3637,1.7599,326.545,369.945,326.49,406.31775,0.0,-1.6099999999999997,0.0850000000000001,0.2749999999999999,0.0,16.0,10.0,24.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.5,0.0,0.6200000000000001,0.27,0.95,0.0,33.4,10.7,30.14289,mof_primitive
11.1856,9.8358,28.591,18.6984,60.25,93.0,140.5,119.25,1.0,1.25,3.0,2.25,1.75,5.75,7.5,9.5,0.5403,0.8161750000000001,1.5152,1.33065,34.7575,123.0325,138.516307,177.89499999999998,0.0,1.0925000000000002,1.3325,1.7925000000000002,0.0,-2.5,5.0,1.5,0.0,0.0,0.0,0.0,0.0,-2.5,-1.5,-4.0,0.0,-0.185,0.1499999999999999,-0.1475,0.0,-13.3,-5.003555,-15.35,9.487766666666666,14.8303,21.4046,18.9887,117.66666666666669,206.0,156.0,139.0,1.0,2.0,2.333333333333333,2.6666666666666665,6.0,10.333333333333334,11.0,13.333333333333334,0.7298,1.4911666666666668,1.4517666666666666,1.548,227.06000000000003,290.7966666666667,256.35,310.80516666666665,0.0,-0.6566666666666664,0.3533333333333335,0.7766666666666667,0.0,8.333333333333334,7.333333333333333,17.666666666666668,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,-0.6666666666666666,0.3333333333333333,0.0,0.3033333333333334,0.1666666666666666,0.6066666666666667,0.0,15.699999999999998,5.133333333333333,16.09526,mof_primitive
11.3152,9.37536,29.36064,18.46752,61.0,98.4,147.6,114.6,1.0,1.2,3.0,2.2,1.6,5.4,7.0,8.8,0.53882,0.8077000000000002,1.53774,1.28936,33.424,124.926,134.0270456,166.272,0.0,1.124,1.2440000000000002,1.7900000000000005,0.0,-3.4,4.4,2.0,0.0,0.0,0.0,0.0,0.0,-2.6,-1.6,-4.0,0.0,-0.214,0.1119999999999999,-0.134,0.0,-14.580000000000002,-5.202844000000001,-14.68,8.31485,18.47865,15.887299999999996,19.71105,144.5,249.0,146.0,160.5,1.0,2.5,2.0,3.0,8.5,13.5,14.0,17.0,0.82825,1.84985,1.3637,1.7599,326.545,369.945,326.49,406.31775,0.0,-1.6099999999999997,0.0850000000000001,0.2749999999999999,0.0,16.0,10.0,24.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.5,0.0,0.6200000000000001,0.27,0.95,0.0,33.4,10.7,30.14289,mof_primitive
11.1856,9.8358,28.591,18.6984,60.25,93.0,140.5,119.25,1.0,1.25,3.0,2.25,1.75,5.75,7.5,9.5,0.5403,0.8161750000000001,1.5152,1.33065,34.7575,123.0325,138.516307,177.895,0.0,1.0925000000000002,1.3325,1.7925000000000004,0.0,-2.5,5.0,1.5,0.0,0.0,0.0,0.0,0.0,-2.5,-1.5,-4.0,0.0,-0.185,0.1499999999999999,-0.1475,0.0,-13.3,-5.003555,-15.35,9.487766666666666,14.8303,21.4046,18.9887,117.66666666666669,206.0,156.0,139.0,1.0,2.0,2.333333333333333,2.6666666666666665,6.0,10.333333333333334,11.0,13.333333333333334,0.7298,1.4911666666666663,1.4517666666666666,1.548,227.06,290.7966666666667,256.35,310.8051666666667,0.0,-0.6566666666666664,0.3533333333333335,0.7766666666666667,0.0,8.333333333333334,7.333333333333333,17.666666666666668,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,-0.6666666666666666,0.3333333333333333,0.0,0.3033333333333334,0.1666666666666666,0.6066666666666666,0.0,15.699999999999998,5.133333333333332,16.09526,mof_primitive
11.3152,9.37536,29.36064,18.46752,61.0,98.4,147.6,114.6,1.0,1.2,3.0,2.2,1.6,5.4,7.0,8.8,0.53882,0.8077000000000002,1.53774,1.28936,33.424,124.926,134.0270456,166.272,0.0,1.124,1.2440000000000002,1.7900000000000005,0.0,-3.4,4.4,2.0,0.0,0.0,0.0,0.0,0.0,-2.6,-1.6,-4.0,0.0,-0.214,0.1119999999999999,-0.134,0.0,-14.580000000000002,-5.202844000000001,-14.68,8.31485,18.47865,15.887299999999996,19.71105,144.5,249.0,146.0,160.5,1.0,2.5,2.0,3.0,8.5,13.5,14.0,17.0,0.82825,1.84985,1.3637,1.7599,326.545,369.945,326.49,406.31775,0.0,-1.6099999999999997,0.0850000000000001,0.2749999999999999,0.0,16.0,10.0,24.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.5,0.0,0.6200000000000001,0.27,0.95,0.0,33.4,10.7,30.14289,mof_primitive
11.1856,9.8358,28.591,18.6984,60.25,93.0,140.5,119.25,1.0,1.25,3.0,2.25,1.75,5.75,7.5,9.5,0.5403,0.8161750000000001,1.5152,1.33065,34.7575,123.0325,138.516307,177.89499999999998,0.0,1.0925000000000002,1.3325,1.7925000000000002,0.0,-2.5,5.0,1.5,0.0,0.0,0.0,0.0,0.0,-2.5,-1.5,-4.0,0.0,-0.185,0.1499999999999999,-0.1475,0.0,-13.3,-5.003555,-15.35,9.487766666666666,14.8303,21.4046,18.9887,117.66666666666669,206.0,156.0,139.0,1.0,2.0,2.333333333333333,2.6666666666666665,6.0,10.333333333333334,11.0,13.333333333333334,0.7298,1.4911666666666668,1.4517666666666666,1.548,227.06000000000003,290.7966666666667,256.35,310.80516666666665,0.0,-0.6566666666666664,0.3533333333333335,0.7766666666666667,0.0,8.333333333333334,7.333333333333333,17.666666666666668,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,-0.6666666666666666,0.3333333333333333,0.0,0.3033333333333334,0.1666666666666666,0.6066666666666667,0.0,15.699999999999998,5.133333333333333,16.09526,mof_primitive
11.3152,9.37536,29.36064,18.46752,61.0,98.4,147.6,114.6,1.0,1.2,3.0,2.2,1.6,5.4,7.0,8.8,0.53882,0.8077000000000002,1.53774,1.28936,33.424,124.926,134.0270456,166.272,0.0,1.124,1.2440000000000002,1.7900000000000005,0.0,-3.4,4.4,2.0,0.0,0.0,0.0,0.0,0.0,-2.6,-1.6,-4.0,0.0,-0.214,0.1119999999999999,-0.134,0.0,-14.580000000000002,-5.202844000000001,-14.68,8.31485,18.47865,15.887299999999996,19.71105,144.5,249.0,146.0,160.5,1.0,2.5,2.0,3.0,8.5,13.5,14.0,17.0,0.82825,1.84985,1.3637,1.7599,326.545,369.945,326.49,406.31775,0.0,-1.6099999999999997,0.0850000000000001,0.2749999999999999,0.0,16.0,10.0,24.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.5,0.0,0.6200000000000001,0.27,0.95,0.0,33.4,10.7,30.14289,mof_primitive
11.1856,9.8358,28.591,18.6984,60.25,93.0,140.5,119.25,1.0,1.25,3.0,2.25,1.75,5.75,7.5,9.5,0.5403,0.8161750000000001,1.5152,1.33065,34.7575,123.0325,138.516307,177.895,0.0,1.0925000000000002,1.3325,1.7925000000000004,0.0,-2.5,5.0,1.5,0.0,0.0,0.0,0.0,0.0,-2.5,-1.5,-4.0,0.0,-0.185,0.1499999999999999,-0.1475,0.0,-13.3,-5.003555,-15.35,9.487766666666666,14.8303,21.4046,18.9887,117.66666666666669,206.0,156.0,139.0,1.0,2.0,2.333333333333333,2.6666666666666665,6.0,10.333333333333334,11.0,13.333333333333334,0.7298,1.4911666666666663,1.4517666666666666,1.548,227.06,290.7966666666667,256.35,310.8051666666667,0.0,-0.6566666666666664,0.3533333333333335,0.7766666666666667,0.0,8.333333333333334,7.333333333333333,17.666666666666668,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,-0.6666666666666666,0.3333333333333333,0.0,0.3033333333333334,0.1666666666666666,0.6066666666666666,0.0,15.699999999999998,5.133333333333332,16.09526,mof_primitive
11.315199999999999,9.375359999999999,29.36064,18.46752,61.0,98.4,147.6,114.6,1.0,1.2,3.0,2.2,1.6,5.4,7.0,8.8,0.53882,0.8077000000000002,1.5377399999999999,1.28936,33.424,124.926,134.0270456,166.272,0.0,1.124,1.2440000000000002,1.7900000000000003,0.0,-3.4,4.4,2.0,0.0,0.0,0.0,0.0,0.0,-2.6,-1.6,-4.0,0.0,-0.21400000000000005,0.11199999999999996,-0.13400000000000006,0.0,-14.580000000000002,-5.202844000000001,-14.680000000000001,8.31485,18.47865,15.887299999999996,19.71105,144.5,249.0,146.0,160.5,1.0,2.5,2.0,3.0,8.5,13.5,14.0,17.0,0.82825,1.8498500000000002,1.3637000000000001,1.7599,326.545,369.945,326.49,406.31775,0.0,-1.6099999999999997,0.08500000000000019,0.2749999999999999,0.0,16.0,10.0,24.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.5,0.0,0.6200000000000001,0.27,0.9500000000000001,0.0,33.4,10.7,30.14289,mof_primitive
11.185599999999999,9.835799999999999,28.590999999999998,18.6984,60.25,93.0,140.5,119.25,1.0,1.25,3.0,2.25,1.75,5.75,7.5,9.5,0.5403,0.8161750000000001,1.5151999999999999,1.33065,34.7575,123.0325,138.516307,177.89499999999998,0.0,1.0925000000000002,1.3325,1.7925000000000002,0.0,-2.5,5.0,1.5,0.0,0.0,0.0,0.0,0.0,-2.5,-1.5,-4.0,0.0,-0.18500000000000005,0.14999999999999997,-0.14750000000000008,0.0,-13.3,-5.003555,-15.35,9.487766666666666,14.8303,21.4046,18.988699999999998,117.66666666666667,206.0,156.0,139.0,1.0,2.0,2.3333333333333335,2.6666666666666665,6.0,10.333333333333334,11.0,13.333333333333334,0.7298,1.4911666666666668,1.4517666666666666,1.548,227.06000000000003,290.7966666666667,256.34999999999997,310.80516666666665,0.0,-0.6566666666666664,0.3533333333333335,0.7766666666666667,0.0,8.333333333333334,7.333333333333333,17.666666666666668,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,-0.6666666666666666,0.3333333333333333,0.0,0.3033333333333334,0.16666666666666666,0.6066666666666667,0.0,15.699999999999998,5.133333333333333,16.09526,mof_primitive
