lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,11.8336,17.543999999999997,43.3096,26.315999999999995,64.0,96.0,136.0,144.0,1.0,2.0,5.0,3.0,4.0,14.0,16.0,20.0,0.5328999999999999,1.1242,1.9053,1.6863,28.09,119.78,159.643049,179.67000000000002,0.0,1.7800000000000002,4.609999999999999,2.6700000000000004,0.0,4.0,23.0,6.0,0.0,0.0,0.0,0.0,0.0,-3.0,2.0,-4.0,0.0,-0.08,1.04,-0.1200000000000001,0.0,-12.000000000000002,-3.621330000000001,-18.000000000000004,mof_primitive
11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,11.8336,17.543999999999997,44.5136,32.68,64.0,96.0,176.0,112.0,1.0,2.0,5.0,4.0,4.0,14.0,22.0,16.0,0.5328999999999999,1.1242,2.1973000000000003,1.6644,28.09,119.78,195.645366,167.555366,0.0,1.7800000000000002,4.26,4.26,0.0,4.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,-3.0,-1.0,0.0,0.0,-0.08,0.6399999999999999,0.6399999999999999,0.0,-12.000000000000002,-10.414220000000002,-10.414220000000002,mof_primitive
11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,11.8336,17.543999999999997,39.5256,26.315999999999995,64.0,96.0,132.0,144.0,1.0,2.0,4.5,3.0,4.0,13.0,15.0,19.0,0.5328999999999999,1.1242,1.77025,1.6863,28.09,119.78,147.6992075,179.67000000000002,0.0,1.7800000000000002,3.9899999999999993,2.6700000000000004,0.0,4.0,19.5,6.0,0.0,0.0,0.0,0.0,0.0,-2.5,1.5,-3.5,0.0,-0.08,0.86,-0.1200000000000001,0.0,-12.000000000000002,-4.017775000000001,-18.000000000000004,mof_primitive
11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,11.8336,17.543999999999997,43.3096,26.315999999999995,64.0,96.0,136.0,144.0,1.0,2.0,5.0,3.0,4.0,14.0,16.0,20.0,0.5328999999999999,1.1242,1.9053,1.6863,28.09,119.78,159.643049,179.67000000000002,0.0,1.7800000000000002,4.609999999999999,2.6700000000000004,0.0,4.0,23.0,6.0,0.0,0.0,0.0,0.0,0.0,-3.0,2.0,-4.0,0.0,-0.08,1.04,-0.1200000000000001,0.0,-12.000000000000002,-3.621330000000001,-18.000000000000004,mof_primitive
11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,11.8336,17.543999999999997,43.3096,26.315999999999995,64.0,96.0,136.0,144.0,1.0,2.0,5.0,3.0,4.0,14.0,16.0,20.0,0.5328999999999999,1.1242,1.9053,1.6863,28.09,119.78,159.643049,179.67000000000002,0.0,1.7800000000000002,4.609999999999999,2.6700000000000004,0.0,4.0,23.0,6.0,0.0,0.0,0.0,0.0,0.0,-3.0,2.0,-4.0,0.0,-0.08,1.04,-0.1200000000000001,0.0,-12.000000000000002,-3.621330000000001,-18.000000000000004,mof_primitive
11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,11.8336,17.543999999999997,44.5136,32.68,64.0,96.0,176.0,112.0,1.0,2.0,5.0,4.0,4.0,14.0,22.0,16.0,0.5328999999999999,1.1242,2.1973000000000003,1.6644,28.09,119.78,195.645366,167.555366,0.0,1.7800000000000002,4.26,4.26,0.0,4.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,-3.0,-1.0,0.0,0.0,-0.08,0.6399999999999999,0.6399999999999999,0.0,-12.000000000000002,-10.414220000000002,-10.414220000000002,mof_primitive
11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,7.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-5.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,11.8336,17.543999999999997,43.91159999999999,38.872,64.0,96.0,156.0,196.0,1.0,2.0,5.0,4.5,4.0,14.0,19.0,27.0,0.5328999999999999,1.1242,2.0513000000000003,2.3834500000000003,28.09,119.78,177.6442075,251.5038415,0.0,1.7800000000000002,4.435,4.180000000000001,0.0,4.0,20.5,11.5,0.0,0.0,0.0,0.0,0.0,-3.0,0.5,-4.5,0.0,-0.08,0.84,0.0199999999999998,0.0,-12.000000000000002,-7.017775000000002,-23.603555000000004,mof_primitive
11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,11.8336,17.543999999999997,43.3096,26.315999999999995,64.0,96.0,136.0,144.0,1.0,2.0,5.0,3.0,4.0,14.0,16.0,20.0,0.5328999999999999,1.1242,1.9053,1.6863,28.09,119.78,159.643049,179.67000000000002,0.0,1.7800000000000002,4.609999999999999,2.6700000000000004,0.0,4.0,23.0,6.0,0.0,0.0,0.0,0.0,0.0,-3.0,2.0,-4.0,0.0,-0.08,1.04,-0.1200000000000001,0.0,-12.000000000000002,-3.621330000000001,-18.000000000000004,mof_primitive
11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,11.8336,17.543999999999997,44.5136,32.68,64.0,96.0,176.0,112.0,1.0,2.0,5.0,4.0,4.0,14.0,22.0,16.0,0.5328999999999999,1.1242,2.1973000000000003,1.6644,28.09,119.78,195.645366,167.555366,0.0,1.7800000000000002,4.26,4.26,0.0,4.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,-3.0,-1.0,0.0,0.0,-0.08,0.6399999999999999,0.6399999999999999,0.0,-12.000000000000002,-10.414220000000002,-10.414220000000002,mof_primitive
11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,11.8336,17.543999999999997,44.5136,32.68,64.0,96.0,176.0,112.0,1.0,2.0,5.0,4.0,4.0,14.0,22.0,16.0,0.5328999999999999,1.1242,2.1973000000000003,1.6644,28.09,119.78,195.645366,167.555366,0.0,1.7800000000000002,4.26,4.26,0.0,4.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,-3.0,-1.0,0.0,0.0,-0.08,0.6399999999999999,0.6399999999999999,0.0,-12.000000000000002,-10.414220000000002,-10.414220000000002,mof_primitive
