f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
186.0891,358.3769999999999,574.5515999999999,590.631,789.0,1524.0,2148.0,2352.0,26.0,52.0,82.0,86.0,134.0,308.0,396.0,446.0,10.9514,24.794000000000004,34.8466,39.039000000000016,mof_primitive
176.40909999999997,348.94199999999995,585.5276,632.3669999999998,787.0,1572.0,2348.0,2208.0,24.0,50.0,82.0,94.0,132.0,324.0,444.0,426.0,10.6776,24.840200000000003,37.19859999999999,38.90700000000001,mof_primitive
176.40909999999997,348.94199999999995,585.5276,632.367,787.0,1572.0,2348.0,2208.0,24.0,50.0,82.0,94.0,132.0,324.0,444.0,426.0,10.6776,24.840200000000003,37.1986,38.90700000000001,mof_primitive
181.2491,347.157,540.0556,579.411,788.0,1512.0,2128.0,2340.0,25.0,50.0,76.0,84.0,126.0,292.0,382.0,430.0,10.8145,24.224200000000007,33.75880000000001,38.4692,mof_primitive
181.2491,360.1619999999999,617.2695999999999,758.9000000000001,788.0,1584.0,2404.0,2960.0,25.0,52.0,88.0,112.0,140.0,346.0,500.0,634.0,10.8145,25.410000000000004,38.96400000000001,50.0136,mof_primitive
186.0891,358.37699999999995,574.5515999999999,590.631,789.0,1524.0,2148.0,2352.0,26.0,52.0,82.0,86.0,134.0,308.0,396.0,446.0,10.9514,24.794000000000004,34.84660000000001,39.039,mof_primitive
186.08909999999997,358.3769999999999,574.5515999999999,590.631,789.0,1524.0,2148.0,2352.0,26.0,52.0,82.0,86.0,134.0,308.0,396.0,446.0,10.9514,24.794000000000004,34.8466,39.039000000000016,mof_primitive
176.40909999999997,348.94199999999995,585.5276,632.3669999999998,787.0,1572.0,2348.0,2208.0,24.0,50.0,82.0,94.0,132.0,324.0,444.0,426.0,10.6776,24.840200000000003,37.19859999999999,38.90700000000001,mof_primitive
176.40909999999997,348.94199999999995,585.5276,632.367,787.0,1572.0,2348.0,2208.0,24.0,50.0,82.0,94.0,132.0,324.0,444.0,426.0,10.6776,24.840200000000003,37.1986,38.90700000000001,mof_primitive
181.2491,347.157,540.0556,579.411,788.0,1512.0,2128.0,2340.0,25.0,50.0,76.0,84.0,126.0,292.0,382.0,430.0,10.8145,24.224200000000007,33.75880000000001,38.4692,mof_primitive
181.2491,360.1619999999999,617.2695999999999,758.9000000000001,788.0,1584.0,2404.0,2960.0,25.0,52.0,88.0,112.0,140.0,346.0,500.0,634.0,10.814499999999999,25.410000000000004,38.96400000000001,50.0136,mof_primitive
186.0891,358.37699999999995,574.5515999999999,590.631,789.0,1524.0,2148.0,2352.0,26.0,52.0,82.0,86.0,134.0,308.0,396.0,446.0,10.9514,24.794000000000004,34.84660000000001,39.039,mof_primitive
