f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
188.923,377.0940000000001,588.2914000000002,716.2620000000001,832.0,1680.0,2440.0,2472.0,27.0,56.0,86.0,108.0,142.0,348.0,478.0,492.0,12.060300000000003,27.90480000000001,40.4006,44.7436,mof_primitive
195.76140000000004,424.6472000000002,650.6539999999999,743.425,714.0,1634.0,2132.0,2188.0,32.0,66.0,104.0,118.0,170.0,404.0,528.0,566.0,12.46720000000001,30.261800000000008,42.2704,46.14619999999998,mof_primitive
188.923,377.0940000000001,588.2914000000001,716.2620000000001,832.0,1680.0,2440.0,2472.0,27.0,56.0,86.0,108.0,142.0,348.0,478.0,492.0,12.060300000000009,27.904800000000005,40.4006,44.74359999999999,mof_primitive
195.7614,424.64720000000017,650.654,743.425,714.0,1634.0,2132.0,2188.0,32.0,66.0,104.0,118.0,170.0,404.0,528.0,566.0,12.467200000000007,30.26180000000001,42.27040000000001,46.1462,mof_primitive
188.92299999999997,377.094,588.2914,716.2619999999998,832.0,1680.0,2440.0,2472.0,27.0,56.0,86.0,108.0,142.0,348.0,478.0,492.0,12.060300000000002,27.904800000000005,40.4006,44.74360000000001,mof_primitive
188.923,377.0940000000001,588.2914000000003,716.2620000000001,832.0,1680.0,2440.0,2472.0,27.0,56.0,86.0,108.0,142.0,348.0,478.0,492.0,12.060300000000009,27.904800000000005,40.40060000000001,44.7436,mof_primitive
188.92299999999997,377.09400000000005,588.2914000000002,716.2620000000001,832.0,1680.0,2440.0,2472.0,27.0,56.0,86.0,108.0,142.0,348.0,478.0,492.0,12.060300000000005,27.90480000000001,40.4006,44.7436,mof_primitive
195.76140000000004,424.6472000000002,650.6539999999999,743.425,714.0,1634.0,2132.0,2188.0,32.0,66.0,104.0,118.0,170.0,404.0,528.0,566.0,12.46720000000001,30.261800000000008,42.2704,46.14619999999998,mof_primitive
188.92299999999997,377.09400000000005,588.2914000000001,716.2620000000001,832.0,1680.0,2440.0,2472.0,27.0,56.0,86.0,108.0,142.0,348.0,478.0,492.0,12.060300000000007,27.904800000000005,40.400600000000004,44.74359999999999,mof_primitive
195.7614,424.64720000000017,650.654,743.425,714.0,1634.0,2132.0,2188.0,32.0,66.0,104.0,118.0,170.0,404.0,528.0,566.0,12.467200000000007,30.26180000000001,42.27040000000001,46.1462,mof_primitive
188.92299999999994,377.094,588.2914,716.2619999999998,832.0,1680.0,2440.0,2472.0,27.0,56.0,86.0,108.0,142.0,348.0,478.0,492.0,12.060300000000002,27.904800000000005,40.4006,44.74360000000001,mof_primitive
188.923,377.0940000000001,588.2914000000003,716.2620000000001,832.0,1680.0,2440.0,2472.0,27.0,56.0,86.0,108.0,142.0,348.0,478.0,492.0,12.060300000000007,27.904800000000005,40.40060000000001,44.743599999999994,mof_primitive
