f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,name
70.4647,128.22719999999998,153.52259999999998,186.048,2572.0,2478.0,3894.0,1008.0,10.0,18.0,24.0,24.0,42.0,90.0,96.0,72.0,6.883300000000001,12.690000000000005,18.7596,13.859999999999998,3.7249,16.379266666666666,29.172754166666664,55.00178333333333,2209.0,918.4583333333334,1658.7083333333333,5951.375,1.0,2.7916666666666665,5.583333333333333,10.791666666666666,8.125,24.375,48.333333333333336,103.125,1.6384,2.680000000000001,5.457066666666666,11.464,0.0,-3.098749999999999,-4.339583333333331,-7.670416666666667,0.0,111.66666666666669,227.125,380.5833333333333,0.0,0.0,0.0,0.0,0.0,-0.25,-0.375,-4.333333333333333,0.0,1.4795833333333333,2.8833333333333324,4.857083333333333,mof_primitive
70.4647,128.2272,153.5226,186.048,2572.0,2478.0,3894.0,1008.0,10.0,18.0,24.0,24.0,42.0,90.0,96.0,72.0,6.883300000000001,12.69,18.7596,13.86,3.7249,16.379266666666666,29.172754166666664,55.00178333333333,2209.0,918.4583333333334,1658.7083333333333,5951.375,1.0,2.7916666666666665,5.583333333333333,10.791666666666666,8.125,24.375,48.333333333333336,103.125,1.6384,2.680000000000001,5.457066666666666,11.464,0.0,-3.098749999999999,-4.339583333333331,-7.670416666666667,0.0,111.66666666666669,227.125,380.5833333333333,0.0,0.0,0.0,0.0,0.0,-0.25,-0.375,-4.333333333333333,0.0,1.4795833333333333,2.8833333333333324,4.857083333333333,mof_primitive
70.4647,128.2272,153.5226,186.048,2572.0,2478.0,3894.0,1008.0,10.0,18.0,24.0,24.0,42.0,90.0,96.0,72.0,6.883300000000001,12.69,18.7596,13.86,3.7249,16.379266666666666,29.172754166666664,55.00178333333333,2209.0,918.4583333333334,1658.7083333333333,5951.375,1.0,2.7916666666666665,5.583333333333333,10.791666666666666,8.125,24.375,48.333333333333336,103.125,1.6384,2.680000000000001,5.457066666666666,11.464,0.0,-3.098749999999999,-4.339583333333331,-7.670416666666667,0.0,111.66666666666669,227.125,380.5833333333333,0.0,0.0,0.0,0.0,0.0,-0.25,-0.375,-4.333333333333333,0.0,1.4795833333333333,2.8833333333333324,4.857083333333333,mof_primitive
70.4647,128.22719999999998,153.52259999999998,186.048,2572.0,2478.0,3894.0,1008.0,10.0,18.0,24.0,24.0,42.0,90.0,96.0,72.0,6.883300000000001,12.690000000000005,18.7596,13.859999999999998,3.7249,16.379266666666666,29.172754166666664,55.00178333333333,2209.0,918.4583333333334,1658.7083333333333,5951.375,1.0,2.7916666666666665,5.583333333333333,10.791666666666666,8.125,24.375,48.333333333333336,103.125,1.6384,2.680000000000001,5.457066666666666,11.464,0.0,-3.098749999999999,-4.339583333333331,-7.670416666666667,0.0,111.66666666666669,227.125,380.5833333333333,0.0,0.0,0.0,0.0,0.0,-0.25,-0.375,-4.333333333333333,0.0,1.4795833333333333,2.8833333333333324,4.857083333333333,mof_primitive
70.4647,128.2272,153.5226,186.048,2572.0,2478.0,3894.0,1008.0,10.0,18.0,24.0,24.0,42.0,90.0,96.0,72.0,6.8833,12.69,18.7596,13.86,3.7249,16.379266666666666,29.172754166666664,55.00178333333333,2209.0,918.4583333333334,1658.7083333333333,5951.375,1.0,2.7916666666666665,5.583333333333333,10.791666666666666,8.125,24.375,48.333333333333336,103.125,1.6384,2.680000000000001,5.457066666666666,11.464,0.0,-3.098749999999999,-4.339583333333331,-7.670416666666667,0.0,111.66666666666669,227.125,380.5833333333333,0.0,0.0,0.0,0.0,0.0,-0.25,-0.375,-4.333333333333333,0.0,1.4795833333333333,2.8833333333333324,4.857083333333333,mof_primitive
70.4647,128.2272,153.5226,186.048,2572.0,2478.0,3894.0,1008.0,10.0,18.0,24.0,24.0,42.0,90.0,96.0,72.0,6.8833,12.69,18.7596,13.86,3.7249,16.379266666666666,29.172754166666664,55.00178333333333,2209.0,918.4583333333334,1658.7083333333333,5951.375,1.0,2.7916666666666665,5.583333333333333,10.791666666666666,8.125,24.375,48.333333333333336,103.125,1.6384,2.680000000000001,5.457066666666666,11.464,0.0,-3.098749999999999,-4.339583333333331,-7.670416666666667,0.0,111.66666666666669,227.125,380.5833333333333,0.0,0.0,0.0,0.0,0.0,-0.25,-0.375,-4.333333333333333,0.0,1.4795833333333333,2.8833333333333324,4.857083333333333,mof_primitive
70.4647,128.2272,153.5226,186.048,2572.0,2478.0,3894.0,1008.0,10.0,18.0,24.0,24.0,42.0,90.0,96.0,72.0,6.883300000000001,12.69,18.7596,13.86,3.7249,16.379266666666666,29.172754166666664,55.00178333333333,2209.0,918.4583333333334,1658.7083333333333,5951.375,1.0,2.7916666666666665,5.583333333333333,10.791666666666666,8.125,24.375,48.333333333333336,103.125,1.6384,2.680000000000001,5.457066666666666,11.464,0.0,-3.098749999999999,-4.339583333333331,-7.670416666666667,0.0,111.66666666666669,227.125,380.5833333333333,0.0,0.0,0.0,0.0,0.0,-0.25,-0.375,-4.333333333333333,0.0,1.4795833333333333,2.8833333333333324,4.857083333333333,mof_primitive
196.9953,325.51640000000003,595.3857999999998,576.6016,3228.0,3536.0,6214.0,5276.0,20.0,40.0,64.0,64.0,104.0,242.0,312.0,332.0,12.218699999999998,25.05700000000001,40.54920000000001,39.104,3.7249,16.379266666666666,29.172754166666664,55.00178333333333,2209.0,918.4583333333334,1658.7083333333333,5951.375,1.0,2.7916666666666665,5.583333333333333,10.791666666666666,8.125,24.375,48.333333333333336,103.125,1.6384,2.680000000000001,5.457066666666666,11.464,0.0,-3.098749999999999,-4.339583333333331,-7.670416666666667,0.0,111.66666666666669,227.125,380.5833333333333,0.0,0.0,0.0,0.0,0.0,-0.25,-0.375,-4.333333333333333,0.0,1.4795833333333333,2.8833333333333324,4.857083333333333,mof_primitive
203.8288,437.7600000000001,685.2583999999998,1080.0958,9856.0,9492.0,16946.0,33826.0,28.0,60.0,98.0,146.0,158.0,408.0,610.0,770.0,20.4184,43.65000000000001,75.17940000000004,104.18320000000006,3.7249,16.379266666666666,29.172754166666664,55.00178333333333,2209.0,918.4583333333334,1658.7083333333333,5951.375,1.0,2.7916666666666665,5.583333333333333,10.791666666666666,8.125,24.375,48.333333333333336,103.125,1.6384,2.680000000000001,5.457066666666666,11.464,0.0,-3.098749999999999,-4.339583333333331,-7.670416666666667,0.0,111.66666666666669,227.125,380.5833333333333,0.0,0.0,0.0,0.0,0.0,-0.25,-0.375,-4.333333333333333,0.0,1.4795833333333333,2.8833333333333324,4.857083333333333,mof_primitive
197.3263,410.5216,611.2105999999998,904.0062,9820.0,8750.0,15444.0,27480.0,27.0,56.0,88.0,122.0,144.0,360.0,508.0,584.0,19.8255,40.57500000000002,67.88320000000002,86.65820000000005,3.7249,16.379266666666666,29.172754166666664,55.00178333333333,2209.0,918.4583333333334,1658.7083333333333,5951.375,1.0,2.7916666666666665,5.583333333333333,10.791666666666666,8.125,24.375,48.333333333333336,103.125,1.6384,2.680000000000001,5.457066666666666,11.464,0.0,-3.098749999999999,-4.339583333333331,-7.670416666666667,0.0,111.66666666666669,227.125,380.5833333333333,0.0,0.0,0.0,0.0,0.0,-0.25,-0.375,-4.333333333333333,0.0,1.4795833333333333,2.8833333333333324,4.857083333333333,mof_primitive
