f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
174.98850000000002,348.789,544.0004,648.139,780.0,1572.0,2276.0,2368.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,490.0,11.3601,26.2108,38.2304,43.32880000000001,mof_primitive
174.9885,348.789,544.0004,648.1390000000001,780.0,1572.0,2276.0,2368.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,490.0,11.3601,26.210800000000003,38.2304,43.32880000000001,mof_primitive
174.9885,348.789,544.0003999999999,648.1390000000001,780.0,1572.0,2276.0,2368.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,490.0,11.3601,26.210800000000003,38.2304,43.32880000000001,mof_primitive
174.9885,348.789,544.0003999999999,648.1390000000001,780.0,1572.0,2276.0,2368.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,490.0,11.3601,26.210800000000003,38.2304,43.32880000000001,mof_primitive
174.9885,348.789,544.0003999999999,648.1390000000001,780.0,1572.0,2276.0,2368.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,490.0,11.3601,26.210800000000003,38.2304,43.32880000000001,mof_primitive
174.9885,348.789,544.0003999999999,648.1390000000001,780.0,1572.0,2276.0,2368.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,490.0,11.3601,26.210800000000003,38.2304,43.32880000000001,mof_primitive
174.98850000000002,348.78899999999993,544.0004,648.139,780.0,1572.0,2276.0,2368.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,490.0,11.360100000000001,26.2108,38.2304,43.32880000000001,mof_primitive
174.9885,348.789,544.0004,648.1390000000001,780.0,1572.0,2276.0,2368.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,490.0,11.360100000000001,26.210800000000003,38.2304,43.32880000000001,mof_primitive
174.9885,348.789,544.0003999999999,648.1390000000001,780.0,1572.0,2276.0,2368.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,490.0,11.360100000000001,26.210800000000003,38.2304,43.32880000000001,mof_primitive
174.9885,348.789,544.0003999999999,648.1390000000001,780.0,1572.0,2276.0,2368.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,490.0,11.360100000000001,26.210800000000003,38.2304,43.32880000000001,mof_primitive
174.9885,348.789,544.0003999999999,648.1390000000001,780.0,1572.0,2276.0,2368.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,490.0,11.360100000000001,26.210800000000003,38.2304,43.32880000000001,mof_primitive
174.9885,348.789,544.0003999999999,648.1390000000001,780.0,1572.0,2276.0,2368.0,25.0,52.0,80.0,100.0,132.0,324.0,456.0,490.0,11.360100000000001,26.210800000000003,38.2304,43.32880000000001,mof_primitive
