f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,name
126.1238,231.16799999999995,445.9952,511.872,2456.0,4608.0,4928.0,6144.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.067,24.294400000000003,33.192,42.281600000000005,2.722499999999998,20.81199999999999,15.839999999999995,37.990333333333325,900.0,880.0,1200.0,1613.3333333333333,1.0,3.6666666666666665,4.0,7.555555555555555,13.88888888888889,28.88888888888889,45.44444444444444,67.88888888888889,1.716099999999999,3.506433333333332,4.506400000000001,7.40004444444445,0.0,-6.563333333333333,-3.0,-10.557777777777774,0.0,80.66666666666667,80.0,172.88888888888889,0.0,0.0,0.0,0.0,0.0,6.222222222222222,2.7777777777777777,9.777777777777779,0.0,2.126666666666666,1.7999999999999996,4.24888888888889,mof_primitive
126.1238,231.168,445.9952,511.87200000000007,2456.0,4608.0,4928.0,6144.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.066999999999998,24.294400000000003,33.19199999999999,42.28160000000001,2.722499999999998,20.81199999999999,15.839999999999995,37.990333333333325,900.0,880.0,1200.0,1613.3333333333333,1.0,3.6666666666666665,4.0,7.555555555555555,13.88888888888889,28.88888888888889,45.44444444444444,67.88888888888889,1.716099999999999,3.506433333333332,4.506400000000001,7.40004444444445,0.0,-6.563333333333333,-3.0,-10.557777777777774,0.0,80.66666666666667,80.0,172.88888888888889,0.0,0.0,0.0,0.0,0.0,6.222222222222222,2.7777777777777777,9.777777777777779,0.0,2.126666666666666,1.7999999999999996,4.24888888888889,mof_primitive
114.2902,202.27199999999996,342.91139999999996,383.90399999999994,2392.0,4032.0,4056.0,4608.0,13.0,28.0,38.0,48.0,66.0,152.0,188.0,216.0,9.5341,21.257600000000004,26.911400000000008,31.711200000000005,2.722499999999998,20.81199999999999,15.839999999999995,37.990333333333325,900.0,880.0,1200.0,1613.3333333333333,1.0,3.6666666666666665,4.0,7.555555555555555,13.88888888888889,28.88888888888889,45.44444444444444,67.88888888888889,1.716099999999999,3.506433333333332,4.506400000000001,7.40004444444445,0.0,-6.563333333333333,-3.0,-10.557777777777774,0.0,80.66666666666667,80.0,172.88888888888889,0.0,0.0,0.0,0.0,0.0,6.222222222222222,2.7777777777777777,9.777777777777779,0.0,2.126666666666666,1.7999999999999996,4.24888888888889,mof_primitive
128.8463,236.32799999999997,453.91519999999997,439.63199999999995,3356.0,5472.0,9968.0,8256.0,15.0,34.0,52.0,60.0,86.0,216.0,316.0,306.0,11.7831,26.995399999999997,41.471199999999996,44.763600000000004,2.722499999999998,20.81199999999999,15.839999999999995,37.990333333333325,900.0,880.0,1200.0,1613.3333333333333,1.0,3.6666666666666665,4.0,7.555555555555555,13.88888888888889,28.88888888888889,45.44444444444444,67.88888888888889,1.716099999999999,3.506433333333332,4.506400000000001,7.40004444444445,0.0,-6.563333333333333,-3.0,-10.557777777777774,0.0,80.66666666666667,80.0,172.88888888888889,0.0,0.0,0.0,0.0,0.0,6.222222222222222,2.7777777777777777,9.777777777777779,0.0,2.126666666666666,1.7999999999999996,4.24888888888889,mof_primitive
114.29020000000001,202.27200000000002,342.91139999999996,383.90399999999994,2392.0,4032.0,4056.0,4608.0,13.0,28.0,38.0,48.0,66.0,152.0,188.0,216.0,9.534099999999999,21.2576,26.9114,31.711200000000005,2.722499999999998,20.81199999999999,15.839999999999995,37.990333333333325,900.0,880.0,1200.0,1613.3333333333333,1.0,3.6666666666666665,4.0,7.555555555555555,13.88888888888889,28.88888888888889,45.44444444444444,67.88888888888889,1.716099999999999,3.506433333333332,4.506400000000001,7.40004444444445,0.0,-6.563333333333333,-3.0,-10.557777777777774,0.0,80.66666666666667,80.0,172.88888888888889,0.0,0.0,0.0,0.0,0.0,6.222222222222222,2.7777777777777777,9.777777777777779,0.0,2.126666666666666,1.7999999999999996,4.24888888888889,mof_primitive
126.1238,231.16799999999995,445.9952,511.87200000000007,2456.0,4608.0,4928.0,6144.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.066999999999998,24.294400000000003,33.192,42.281600000000005,2.722499999999998,20.81199999999999,15.839999999999995,37.990333333333325,900.0,880.0,1200.0,1613.3333333333333,1.0,3.6666666666666665,4.0,7.555555555555555,13.88888888888889,28.88888888888889,45.44444444444444,67.88888888888889,1.716099999999999,3.506433333333332,4.506400000000001,7.40004444444445,0.0,-6.563333333333333,-3.0,-10.557777777777774,0.0,80.66666666666667,80.0,172.88888888888889,0.0,0.0,0.0,0.0,0.0,6.222222222222222,2.7777777777777777,9.777777777777779,0.0,2.126666666666666,1.7999999999999996,4.24888888888889,mof_primitive
126.1238,231.168,445.9952,511.87200000000007,2456.0,4608.0,4928.0,6144.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.067,24.294400000000003,33.192,42.28160000000001,2.722499999999998,20.81199999999999,15.839999999999995,37.990333333333325,900.0,880.0,1200.0,1613.3333333333333,1.0,3.6666666666666665,4.0,7.555555555555555,13.88888888888889,28.88888888888889,45.44444444444444,67.88888888888889,1.716099999999999,3.506433333333332,4.506400000000001,7.40004444444445,0.0,-6.563333333333333,-3.0,-10.557777777777774,0.0,80.66666666666667,80.0,172.88888888888889,0.0,0.0,0.0,0.0,0.0,6.222222222222222,2.7777777777777777,9.777777777777779,0.0,2.126666666666666,1.7999999999999996,4.24888888888889,mof_primitive
128.84629999999999,236.32799999999997,453.9152,439.632,3356.0,5472.0,9968.0,8256.0,15.0,34.0,52.0,60.0,86.0,216.0,316.0,306.0,11.783099999999997,26.9954,41.4712,44.7636,2.722499999999998,20.81199999999999,15.839999999999995,37.990333333333325,900.0,880.0,1200.0,1613.3333333333333,1.0,3.6666666666666665,4.0,7.555555555555555,13.88888888888889,28.88888888888889,45.44444444444444,67.88888888888889,1.716099999999999,3.506433333333332,4.506400000000001,7.40004444444445,0.0,-6.563333333333333,-3.0,-10.557777777777774,0.0,80.66666666666667,80.0,172.88888888888889,0.0,0.0,0.0,0.0,0.0,6.222222222222222,2.7777777777777777,9.777777777777779,0.0,2.126666666666666,1.7999999999999996,4.24888888888889,mof_primitive
128.84629999999999,236.32799999999997,453.9152,439.63199999999995,3356.0,5472.0,9968.0,8256.0,15.0,34.0,52.0,60.0,86.0,216.0,316.0,306.0,11.7831,26.995399999999997,41.4712,44.763600000000004,2.722499999999998,20.81199999999999,15.839999999999995,37.990333333333325,900.0,880.0,1200.0,1613.3333333333333,1.0,3.6666666666666665,4.0,7.555555555555555,13.88888888888889,28.88888888888889,45.44444444444444,67.88888888888889,1.716099999999999,3.506433333333332,4.506400000000001,7.40004444444445,0.0,-6.563333333333333,-3.0,-10.557777777777774,0.0,80.66666666666667,80.0,172.88888888888889,0.0,0.0,0.0,0.0,0.0,6.222222222222222,2.7777777777777777,9.777777777777779,0.0,2.126666666666666,1.7999999999999996,4.24888888888889,mof_primitive
114.2902,202.272,342.91139999999996,383.90399999999994,2392.0,4032.0,4056.0,4608.0,13.0,28.0,38.0,48.0,66.0,152.0,188.0,216.0,9.5341,21.257600000000004,26.9114,31.711200000000005,2.722499999999998,20.81199999999999,15.839999999999995,37.990333333333325,900.0,880.0,1200.0,1613.3333333333333,1.0,3.6666666666666665,4.0,7.555555555555555,13.88888888888889,28.88888888888889,45.44444444444444,67.88888888888889,1.716099999999999,3.506433333333332,4.506400000000001,7.40004444444445,0.0,-6.563333333333333,-3.0,-10.557777777777774,0.0,80.66666666666667,80.0,172.88888888888889,0.0,0.0,0.0,0.0,0.0,6.222222222222222,2.7777777777777777,9.777777777777779,0.0,2.126666666666666,1.7999999999999996,4.24888888888889,mof_primitive
