f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
122.22820000000002,268.821,406.22,458.812,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.1492,19.850600000000007,27.907200000000003,28.971600000000002,mof_primitive
177.08939999999996,355.011,557.1304000000001,682.442,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.5274,26.84220000000001,39.461200000000005,45.1084,mof_primitive
177.08939999999996,355.0110000000001,557.1304000000001,682.442,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.5274,26.84220000000001,39.461200000000005,45.1084,mof_primitive
177.08939999999996,355.011,557.1304,682.442,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.5274,26.842200000000005,39.4612,45.10840000000002,mof_primitive
122.2282,268.82099999999997,406.22,458.81200000000007,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.1492,19.850600000000004,27.907200000000003,28.971600000000002,mof_primitive
177.08939999999996,355.01099999999997,557.1304,682.4419999999999,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.5274,26.842200000000005,39.4612,45.10840000000002,mof_primitive
177.08939999999996,355.011,557.1304,682.442,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.5274,26.84220000000001,39.4612,45.10840000000002,mof_primitive
177.08939999999996,355.01099999999997,557.1304,682.4419999999999,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.5274,26.842200000000005,39.4612,45.10840000000002,mof_primitive
122.22820000000002,268.821,406.2200000000001,458.812,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.149199999999999,19.850600000000004,27.90720000000001,28.971600000000002,mof_primitive
177.08939999999998,355.0110000000001,557.1304000000001,682.4420000000001,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.5274,26.84220000000001,39.46120000000001,45.108399999999996,mof_primitive
177.08939999999998,355.01100000000014,557.1304000000002,682.4419999999997,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000005,26.84220000000001,39.461200000000005,45.108399999999996,mof_primitive
177.0894,355.01100000000014,557.1304000000002,682.4419999999998,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000007,26.842200000000005,39.461200000000005,45.108399999999996,mof_primitive
122.22820000000003,268.8210000000001,406.2200000000001,458.81199999999995,466.0,1080.0,1400.0,1288.0,20.0,42.0,64.0,76.0,106.0,258.0,352.0,360.0,8.1492,19.850600000000004,27.907200000000003,28.971600000000013,mof_primitive
177.0894,355.01100000000014,557.1304000000002,682.4419999999998,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000007,26.842200000000005,39.461200000000005,45.108399999999996,mof_primitive
177.08939999999998,355.011,557.1304,682.4419999999999,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000002,26.842200000000002,39.46120000000001,45.10840000000001,mof_primitive
177.08939999999998,355.0110000000001,557.1304000000001,682.4419999999999,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.527400000000005,26.842200000000005,39.461200000000005,45.108399999999996,mof_primitive
