f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
235.4644,490.9260000000001,776.9404000000003,979.9869999999996,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.63240000000001,37.42200000000001,55.877600000000015,66.17740000000002,mof_primitive
235.4644,490.92600000000016,776.9404000000003,979.9869999999996,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.63240000000001,37.42200000000002,55.877600000000015,66.17740000000002,mof_primitive
235.4644,490.92600000000016,776.9404000000003,979.9869999999996,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.63240000000001,37.42200000000002,55.877600000000015,66.17740000000002,mof_primitive
235.4644,490.9260000000002,776.9404000000003,979.9869999999996,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.632400000000011,37.42200000000002,55.87760000000002,66.17740000000002,mof_primitive
235.4644,490.92600000000016,776.9404000000003,979.9869999999994,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.632400000000011,37.42200000000002,55.87760000000002,66.17740000000002,mof_primitive
235.4644,490.92600000000016,776.9404000000003,979.9869999999994,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.63240000000001,37.42200000000001,55.87760000000002,66.17740000000002,mof_primitive
141.3994,319.5660000000001,553.5604,667.938,622.0,1464.0,2152.0,2172.0,20.0,48.0,84.0,104.0,156.0,504.0,708.0,560.0,8.882000000000003,24.516800000000007,38.229200000000006,40.66640000000001,mof_primitive
141.3994,319.56600000000003,553.5604,667.938,622.0,1464.0,2152.0,2172.0,20.0,48.0,84.0,104.0,156.0,504.0,708.0,560.0,8.882000000000003,24.516800000000007,38.22920000000001,40.66640000000002,mof_primitive
141.3994,319.56600000000003,553.5604,667.938,622.0,1464.0,2152.0,2172.0,20.0,48.0,84.0,104.0,156.0,504.0,708.0,560.0,8.882,24.516800000000007,38.22920000000001,40.6664,mof_primitive
235.4644,490.92600000000016,776.9404000000003,979.9869999999996,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.632400000000008,37.42200000000002,55.87760000000002,66.17740000000003,mof_primitive
235.4644,490.9260000000001,776.9404000000001,979.9869999999996,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.632400000000004,37.42200000000002,55.877600000000015,66.1774,mof_primitive
235.4644,490.9260000000001,776.9404,979.987,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.6324,37.42200000000001,55.87760000000002,66.17740000000002,mof_primitive
235.4644,490.926,776.9404,979.9869999999996,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.6324,37.42200000000001,55.87760000000002,66.17740000000002,mof_primitive
141.3994,319.566,553.5604000000001,667.938,622.0,1464.0,2152.0,2172.0,20.0,48.0,84.0,104.0,156.0,504.0,708.0,560.0,8.882000000000001,24.516800000000003,38.229200000000006,40.66640000000001,mof_primitive
141.3994,319.566,553.5604000000001,667.938,622.0,1464.0,2152.0,2172.0,20.0,48.0,84.0,104.0,156.0,504.0,708.0,560.0,8.882000000000001,24.516800000000003,38.229200000000006,40.66640000000001,mof_primitive
141.3994,319.5659999999999,553.5604000000001,667.938,622.0,1464.0,2152.0,2172.0,20.0,48.0,84.0,104.0,156.0,504.0,708.0,560.0,8.882000000000001,24.516800000000003,38.229200000000006,40.6664,mof_primitive
235.4644,490.926,776.9404,979.9869999999996,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.6324,37.42200000000001,55.87760000000002,66.1774,mof_primitive
235.4644,490.926,776.9403999999998,979.9869999999996,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.632400000000002,37.42200000000002,55.877600000000015,66.17740000000002,mof_primitive
235.46439999999996,490.9260000000001,776.9404000000003,979.9869999999996,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.63240000000001,37.42200000000001,55.877600000000015,66.17740000000002,mof_primitive
235.46439999999996,490.92600000000016,776.9404000000003,979.9869999999996,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.63240000000001,37.42200000000002,55.877600000000015,66.17740000000002,mof_primitive
235.46439999999996,490.92600000000016,776.9404000000003,979.9869999999996,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.63240000000001,37.42200000000002,55.877600000000015,66.17740000000002,mof_primitive
235.46439999999998,490.9260000000002,776.9404000000003,979.9869999999995,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.632400000000011,37.42200000000002,55.87760000000002,66.17740000000002,mof_primitive
235.4644,490.92600000000016,776.9404000000003,979.9869999999994,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.632400000000011,37.42200000000002,55.87760000000002,66.17740000000002,mof_primitive
235.4644,490.92600000000016,776.9404000000003,979.9869999999994,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.63240000000001,37.42200000000001,55.87760000000002,66.17740000000002,mof_primitive
141.39939999999999,319.5660000000001,553.5604,667.938,622.0,1464.0,2152.0,2172.0,20.0,48.0,84.0,104.0,156.0,504.0,708.0,560.0,8.882000000000003,24.516800000000007,38.229200000000006,40.66640000000001,mof_primitive
141.39939999999999,319.56600000000003,553.5604,667.938,622.0,1464.0,2152.0,2172.0,20.0,48.0,84.0,104.0,156.0,504.0,708.0,560.0,8.882000000000003,24.516800000000007,38.22920000000001,40.66640000000002,mof_primitive
141.3994,319.56600000000003,553.5604,667.938,622.0,1464.0,2152.0,2172.0,20.0,48.0,84.0,104.0,156.0,504.0,708.0,560.0,8.882,24.516800000000007,38.22920000000001,40.666399999999996,mof_primitive
235.46439999999996,490.92600000000016,776.9404000000003,979.9869999999996,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.632400000000008,37.42200000000002,55.87760000000002,66.17740000000003,mof_primitive
235.46439999999996,490.9260000000001,776.9404000000001,979.9869999999996,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.632400000000004,37.42200000000002,55.877600000000015,66.1774,mof_primitive
235.46439999999998,490.9260000000001,776.9404,979.987,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.632399999999999,37.42200000000001,55.87760000000002,66.17740000000002,mof_primitive
235.46439999999998,490.92600000000004,776.9404,979.9869999999997,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.6324,37.42200000000001,55.87760000000002,66.17740000000002,mof_primitive
141.39939999999999,319.566,553.5604000000001,667.938,622.0,1464.0,2152.0,2172.0,20.0,48.0,84.0,104.0,156.0,504.0,708.0,560.0,8.882000000000001,24.516800000000003,38.229200000000006,40.66640000000001,mof_primitive
141.39939999999999,319.566,553.5604000000001,667.938,622.0,1464.0,2152.0,2172.0,20.0,48.0,84.0,104.0,156.0,504.0,708.0,560.0,8.882000000000001,24.516800000000003,38.229200000000006,40.66640000000001,mof_primitive
141.3994,319.5659999999999,553.5604000000001,667.938,622.0,1464.0,2152.0,2172.0,20.0,48.0,84.0,104.0,156.0,504.0,708.0,560.0,8.882000000000001,24.516800000000003,38.229200000000006,40.6664,mof_primitive
235.46439999999998,490.926,776.9404,979.9869999999997,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.6324,37.42200000000001,55.87760000000002,66.1774,mof_primitive
235.46439999999998,490.926,776.9403999999998,979.9869999999997,988.0,2112.0,3088.0,3400.0,36.0,76.0,120.0,158.0,196.0,492.0,712.0,814.0,15.632400000000002,37.42200000000002,55.877600000000015,66.17740000000002,mof_primitive
