f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
272.13659999999993,572.8610000000003,902.7063999999999,1190.768,1188.0,2528.0,3880.0,4628.0,40.0,86.0,136.0,184.0,222.0,566.0,856.0,1040.0,17.884000000000007,43.16860000000001,66.34960000000002,82.988,mof_primitive
154.59320000000002,339.7110000000002,541.3500000000001,645.1770000000002,542.0,1272.0,1644.0,1512.0,26.0,54.0,88.0,110.0,142.0,352.0,484.0,514.0,9.8826,24.501400000000007,35.384800000000006,38.0902,mof_primitive
272.13659999999993,572.8610000000003,902.7063999999999,1190.7680000000003,1188.0,2528.0,3880.0,4628.0,40.0,86.0,136.0,184.0,222.0,566.0,856.0,1040.0,17.884000000000007,43.16860000000002,66.34960000000002,82.98800000000001,mof_primitive
154.59320000000002,339.7110000000001,541.35,645.1770000000001,542.0,1272.0,1644.0,1512.0,26.0,54.0,88.0,110.0,142.0,352.0,484.0,514.0,9.8826,24.501400000000004,35.384800000000006,38.0902,mof_primitive
272.13659999999993,572.8610000000001,902.7063999999999,1190.7679999999998,1188.0,2528.0,3880.0,4628.0,40.0,86.0,136.0,184.0,222.0,566.0,856.0,1040.0,17.884000000000007,43.16860000000001,66.34960000000002,82.988,mof_primitive
154.5932,339.71100000000007,541.35,645.177,542.0,1272.0,1644.0,1512.0,26.0,54.0,88.0,110.0,142.0,352.0,484.0,514.0,9.882600000000002,24.5014,35.384800000000006,38.090199999999996,mof_primitive
272.1366,572.8610000000001,902.7063999999998,1190.7679999999996,1188.0,2528.0,3880.0,4628.0,40.0,86.0,136.0,184.0,222.0,566.0,856.0,1040.0,17.884000000000007,43.16860000000002,66.34960000000001,82.988,mof_primitive
154.59320000000002,339.7110000000002,541.3500000000001,645.1769999999999,542.0,1272.0,1644.0,1512.0,26.0,54.0,88.0,110.0,142.0,352.0,484.0,514.0,9.882600000000004,24.501400000000007,35.3848,38.09020000000001,mof_primitive
272.1365999999999,572.8610000000001,902.7064000000001,1190.7680000000003,1188.0,2528.0,3880.0,4628.0,40.0,86.0,136.0,184.0,222.0,566.0,856.0,1040.0,17.88400000000001,43.16860000000001,66.34960000000002,82.98800000000003,mof_primitive
154.5932,339.7110000000001,541.3500000000001,645.1770000000001,542.0,1272.0,1644.0,1512.0,26.0,54.0,88.0,110.0,142.0,352.0,484.0,514.0,9.882600000000004,24.501400000000007,35.38480000000001,38.0902,mof_primitive
154.5932,339.7110000000001,541.3500000000001,645.1770000000001,542.0,1272.0,1644.0,1512.0,26.0,54.0,88.0,110.0,142.0,352.0,484.0,514.0,9.882600000000005,24.501400000000007,35.3848,38.0902,mof_primitive
272.13659999999993,572.861,902.7063999999997,1190.768,1188.0,2528.0,3880.0,4628.0,40.0,86.0,136.0,184.0,222.0,566.0,856.0,1040.0,17.884000000000007,43.16860000000001,66.34960000000002,82.98800000000001,mof_primitive
