f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
190.09439999999995,381.0210000000001,583.1404000000001,695.4469999999998,840.0,1704.0,2416.0,2432.0,28.0,58.0,88.0,110.0,146.0,356.0,484.0,486.0,12.713200000000004,29.213800000000013,41.832800000000006,46.2942,mof_primitive
190.09439999999995,381.02099999999996,583.1404,695.447,840.0,1704.0,2416.0,2432.0,28.0,58.0,88.0,110.0,146.0,356.0,484.0,486.0,12.713200000000004,29.21380000000001,41.832800000000006,46.29420000000002,mof_primitive
190.09439999999995,381.021,583.1404000000001,695.447,840.0,1704.0,2416.0,2432.0,28.0,58.0,88.0,110.0,146.0,356.0,484.0,486.0,12.713200000000002,29.21380000000001,41.83280000000001,46.29420000000001,mof_primitive
190.09439999999998,381.021,583.1404,695.447,840.0,1704.0,2416.0,2432.0,28.0,58.0,88.0,110.0,146.0,356.0,484.0,486.0,12.7132,29.213800000000013,41.83280000000001,46.29420000000002,mof_primitive
83.0244,131.63099999999997,188.40039999999993,175.84499999999997,402.0,624.0,832.0,546.0,10.0,18.0,24.0,24.0,42.0,90.0,88.0,64.0,4.776999999999999,9.1938,11.2792,9.2568,mof_primitive
190.09439999999995,381.021,583.1403999999999,695.4470000000001,840.0,1704.0,2416.0,2432.0,28.0,58.0,88.0,110.0,146.0,356.0,484.0,486.0,12.7132,29.21380000000001,41.832800000000006,46.29420000000002,mof_primitive
83.0244,131.63099999999997,188.40039999999996,175.84500000000003,402.0,624.0,832.0,546.0,10.0,18.0,24.0,24.0,42.0,90.0,88.0,64.0,4.776999999999999,9.193800000000001,11.2792,9.2568,mof_primitive
190.09439999999998,381.021,583.1404,695.4469999999999,840.0,1704.0,2416.0,2432.0,28.0,58.0,88.0,110.0,146.0,356.0,484.0,486.0,12.713200000000002,29.21380000000001,41.83280000000001,46.29420000000001,mof_primitive
190.09439999999998,381.0210000000001,583.1404,695.4469999999999,840.0,1704.0,2416.0,2432.0,28.0,58.0,88.0,110.0,146.0,356.0,484.0,486.0,12.713200000000002,29.21380000000001,41.83280000000001,46.294200000000004,mof_primitive
83.0244,131.63099999999997,188.40039999999996,175.84500000000003,402.0,624.0,832.0,546.0,10.0,18.0,24.0,24.0,42.0,90.0,88.0,64.0,4.776999999999999,9.1938,11.2792,9.2568,mof_primitive
83.0244,131.631,188.40039999999996,175.84500000000003,402.0,624.0,832.0,546.0,10.0,18.0,24.0,24.0,42.0,90.0,88.0,64.0,4.776999999999999,9.193800000000003,11.2792,9.2568,mof_primitive
83.0244,131.63099999999997,188.40039999999993,175.845,402.0,624.0,832.0,546.0,10.0,18.0,24.0,24.0,42.0,90.0,88.0,64.0,4.776999999999999,9.1938,11.279200000000001,9.2568,mof_primitive
190.0944,381.02100000000013,583.1404000000002,695.4469999999998,840.0,1704.0,2416.0,2432.0,28.0,58.0,88.0,110.0,146.0,356.0,484.0,486.0,12.713200000000006,29.21380000000001,41.83280000000002,46.2942,mof_primitive
83.0244,131.63099999999997,188.4004,175.845,402.0,624.0,832.0,546.0,10.0,18.0,24.0,24.0,42.0,90.0,88.0,64.0,4.776999999999999,9.1938,11.279200000000001,9.2568,mof_primitive
190.0944,381.02100000000013,583.1404000000002,695.4469999999997,840.0,1704.0,2416.0,2432.0,28.0,58.0,88.0,110.0,146.0,356.0,484.0,486.0,12.713200000000008,29.21380000000001,41.83280000000002,46.2942,mof_primitive
190.0944,381.0210000000001,583.1404000000001,695.4469999999999,840.0,1704.0,2416.0,2432.0,28.0,58.0,88.0,110.0,146.0,356.0,484.0,486.0,12.713200000000008,29.21380000000001,41.83280000000001,46.29419999999999,mof_primitive
190.09439999999998,381.0210000000001,583.1404000000001,695.4469999999999,840.0,1704.0,2416.0,2432.0,28.0,58.0,88.0,110.0,146.0,356.0,484.0,486.0,12.713200000000004,29.21380000000001,41.83280000000001,46.2942,mof_primitive
190.0944,381.02100000000013,583.1404000000002,695.4469999999997,840.0,1704.0,2416.0,2432.0,28.0,58.0,88.0,110.0,146.0,356.0,484.0,486.0,12.713200000000008,29.21380000000001,41.83280000000002,46.2942,mof_primitive
